date, pm25, o3, no2
2020-08-02,65,34,14
2020-08-03,67,37,14
2020-08-04,55,40,19
2020-08-05,66,39,11
2020-08-06,48,14,10
2020-08-07,68, , 
2020-07-02,63,50,13
2020-07-03,86,44,12
2020-07-04,65,45,14
2020-07-05,84,42,15
2020-07-06,69,44,18
2020-07-07,59,30,14
2020-07-08,40,16,11
2020-07-09,21,32,16
2020-07-10,45,41,18
2020-07-11,52,38,12
2020-07-12,40,42,10
2020-07-13,45,48,16
2020-07-14,57,50,18
2020-07-15,67,50,17
2020-07-16,54,51,17
2020-07-17,69,37,15
2020-07-18,76,43,16
2020-07-19,73,41,14
2020-07-20,80,63,15
2020-07-21,73,49,17
2020-07-22,66,46,17
2020-07-23,64,49,13
2020-07-24,66,53,15
2020-07-25,52,58,17
2020-07-26,65,30,11
2020-07-27,33,33,11
2020-07-28,43,24,9
2020-07-29,25,25,16
2020-07-30,35,45,18
2020-07-31,66,32,17
2020-08-01,48,38,21
2020-06-02,87,41,8
2020-06-03,71,20,7
2020-06-04,28,30,8
2020-06-05,35,43,9
2020-06-06,52,46,9
2020-06-07,61,46,7
2020-06-08,48,54,10
2020-06-09,67,58,18
2020-06-10,75,42,14
2020-06-11,69,35,7
2020-06-12,54,30,7
2020-06-13,32,42,8
2020-06-14,37,56,8
2020-06-15,56,61,11
2020-06-16,69,63,10
2020-06-17,65,61,10
2020-06-18,73,46,9
2020-06-19,62,50,10
2020-06-20,58,45,12
2020-06-21,74,43,12
2020-06-22,71,42,18
2020-06-23,63,23,17
2020-06-24,57,32,15
2020-06-25,44,22,11
2020-06-26,44,39,11
2020-06-27,56,61,14
2020-06-28,85,50,10
2020-06-29,86,43,17
2020-06-30,86,54,18
2020-07-01,64,40,9
2020-05-02,67,67,16
2020-05-03,70,62,11
2020-05-04,62,57,15
2020-05-05,58,53,12
2020-05-06,67,52,12
2020-05-07,64,48,15
2020-05-08,72,68,19
2020-05-09,78,62,12
2020-05-10,76,60,9
2020-05-11,53,64,13
2020-05-12,54,73,21
2020-05-13,72,51,19
2020-05-14,112,72,17
2020-05-15,136,58,17
2020-05-16,102,48,14
2020-05-17,101,60,13
2020-05-18,80,68,14
2020-05-19,83,71,17
2020-05-20,82,81,20
2020-05-21,121,74,19
2020-05-22,139,78,18
2020-05-23,112,62,20
