date, pm25, pm10, o3, no2, so2, co
2018/12/14, 77, 39, 29, , 1, 13
2018/12/21, 142, 61, 32, , 4, 17
2018/12/22, 117, 52, 32, , 3, 16
2020/8/2, , 20, 57, , , 2
2020/8/3, , 20, , , , 
2020/7/2, , 28, 52, , , 4
2020/7/3, , 34, 52, , , 3
2020/7/4, , 35, 48, , , 3
2020/7/5, , 24, 31, , , 1
2020/7/6, , 16, 37, , , 5
2020/7/7, , 20, 31, , , 5
2020/7/8, , 22, 24, , , 4
2020/7/9, , 18, 37, , , 4
2020/7/10, , 26, 36, , , 5
2020/7/11, , 24, 26, , , 3
2020/7/12, , 27, 36, , , 2
2020/7/13, , 22, 57, , , 2
2020/7/14, , 33, 56, , , 4
2020/7/15, , 30, 40, , , 5
2020/7/16, , 33, 41, , , 3
2020/7/17, , 42, 37, , , 3
2020/7/18, , 53, 39, , , 3
2020/7/19, , 50, 42, , , 2
2020/7/20, , 40, 47, , , 2
2020/7/21, , 34, 58, , , 4
2020/7/22, , 24, 48, , , 4
2020/7/23, , 18, 46, , , 4
2020/7/24, , 16, 43, , , 3
2020/7/25, , 18, 46, , , 3
2020/7/26, , 17, 33, , , 1
2020/7/27, , 9, 40, , , 3
2020/7/28, , 11, 26, , , 2
2020/7/29, , 11, 32, , , 5
2020/7/30, , 17, 37, , , 2
2020/7/31, , 19, 27, , , 4
2020/8/1, , 16, 48, , , 3
2020/6/2, , 23, 33, , , 1
2020/6/3, , 20, 19, , , 1
2020/6/4, , 21, 26, , , 2
2020/6/5, , 19, 37, , , 2
2020/6/6, , 16, 50, , , 4
2020/6/7, , 29, 51, , , 2
2020/6/8, , 11, 52, , , 2
2020/6/9, , 18, 74, , , 5
2020/6/10, , 27, 54, , , 5
2020/6/11, , 25, 28, , , 2
2020/6/12, , 22, 30, , , 2
2020/6/13, , 15, 52, , , 3
2020/6/14, , 24, 66, , , 3
2020/6/15, , 23, 57, , , 3
2020/6/16, , 22, 68, , , 3
2020/6/17, , 31, 61, , , 2
2020/6/18, , 38, 58, , , 3
2020/6/19, , 30, 53, , , 5
2020/6/20, , 32, 52, , , 1
2020/6/21, , 28, 42, , , 2
2020/6/22, , 23, 32, , , 2
2020/6/23, , 22, 38, , , 3
2020/6/24, , 30, 24, , , 4
2020/6/25, , 13, 22, , , 4
2020/6/26, , 17, 32, , , 6
2020/6/27, , 34, 39, , , 5
2020/6/28, , 50, 39, , , 4
2020/6/29, , 38, 42, , , 3
2020/6/30, , 42, 38, , , 2
2020/7/1, , 28, 41, , , 4
2020/5/2, , 36, 23, , , 3
2020/5/3, , 32, 26, , , 3
2020/5/4, , 33, 31, , , 3
2020/5/5, , 43, 26, , , 3
2020/5/6, , 53, 28, , , 7
2020/5/7, , 37, 60, , , 9
2020/5/8, , 52, , , , 
2020/5/12, , 31, 63, , 2, 3
2020/5/13, , 27, 60, , 2, 4
2020/5/14, , 48, 64, , 2, 3
2020/5/15, , 64, 67, , 2, 4
2020/5/16, , 59, 49, , 2, 4
2020/5/17, , 54, 63, , 23, 2
2020/5/18, , 51, 74, , 2, 1
2020/5/19, , 42, 68, , 1, 3
2020/5/20, , 48, 90, , 1, 1
2020/5/21, , 81, 80, , 1, 1
2020/5/22, , 82, 93, , 1, 4
2020/5/23, , 78, 62, , 3, 2
2020/5/24, , 52, 52, , 3, 
2020/5/25, , 44, 60, , 2, 1
2020/5/26, , 50, 66, , 2, 2
2020/5/27, , 54, 55, , 2, 2
2020/5/28, , 65, 53, , 2, 1
2020/5/29, , 46, 45, , , 
2020/5/30, , 25, 42, , , 
2020/5/31, , 13, , , , 
2020/4/2, , 55, 60, 12, 2, 31
2020/4/3, , 36, 54, 17, 3, 32
2020/4/4, , 57, , , , 
2020/4/13, , 55, 54, 9, 2, 4
2020/4/14, , 41, 51, 15, 2, 15
