date, pm25, o3
2020-08-02,35,24
2020-08-03,21,22
2020-08-04,24,17
2020-08-05,24,12
2020-08-06,32,4
2020-08-07,34, 
2020-07-02,80,16
2020-07-03,87,20
2020-07-04,55,22
2020-07-05,47,19
2020-07-06,36,13
2020-07-07,57,15
2020-07-08,83,16
2020-07-09,77,17
2020-07-10,62,15
2020-07-11,42,16
2020-07-12,34,19
2020-07-13,34,17
2020-07-14,59,17
2020-07-15,72,14
2020-07-16,86,12
2020-07-17,66,16
2020-07-18,82,16
2020-07-19,64,17
2020-07-20,50,24
2020-07-21,28,17
2020-07-22,25,18
2020-07-23,24,18
2020-07-24,15,33
2020-07-25,23,24
2020-07-26,18,24
2020-07-27,24,15
2020-07-28,27,17
2020-07-29,21,20
2020-07-30,17,13
2020-07-31,35,13
2020-08-01,30,22
2020-06-02,17,16
2020-06-03,24,20
2020-06-04,29,17
2020-06-05,38,18
2020-06-06,39,23
2020-06-07,24,39
2020-06-08,29,20
2020-06-09,34,28
2020-06-10,62,29
2020-06-11,56,39
2020-06-12,22,39
2020-06-13,25,43
2020-06-14,33,40
2020-06-15,32,32
2020-06-16,29,20
2020-06-17,24,19
2020-06-18,26,14
2020-06-19,20,14
2020-06-20,25,15
2020-06-21,19,13
2020-06-22,27,12
2020-06-23,29,15
2020-06-24,71,22
2020-06-25,46,22
2020-06-26,50,13
2020-06-27,127,13
2020-06-28,144,13
2020-06-29,80,17
2020-06-30,71,17
2020-07-01,77,19
2020-05-02,28,32
2020-05-03,32,32
2020-05-04,32,29
2020-05-05,60,28
2020-05-06,55,24
2020-05-07,46,25
2020-05-08,46,36
2020-05-09,47,36
2020-05-10,27,37
2020-05-11,28,33
2020-05-12,29,29
2020-05-13,26,25
2020-05-14,36,25
2020-05-15,46,24
2020-05-16,64,38
2020-05-17,44,43
2020-05-18,31,34
2020-05-19,41,26
2020-05-23,61,33
2020-05-24,55,26
2020-05-25,54,36
2020-05-26,37,36
2020-05-27,27,35
2020-05-28,27,31
2020-05-29,35,30
2020-05-30,24,35
2020-05-31,29,26
2020-06-01,24,18
2020-04-03,50,19
2020-04-04,55,19
2020-04-05,30,29
2020-04-06,27,20
2020-04-07,39,19
2020-04-08,66,28
2020-04-09,64,28
2020-04-10,84,29
2020-04-11,56,23
2020-04-12,62,36
2020-04-13,71,33
2020-04-14,47,32
2020-04-15,29,34
2020-04-16,32,32
2020-04-17,30,24
2020-04-18,46,22
2020-04-19,64,32
2020-04-20,77,38
2020-04-21,94,26
2020-04-22,99,30
2020-04-23,113,37
2020-04-24,81,32
2020-04-25,101,46
2020-04-26,113,38
2020-04-27,31,35
2020-04-28,42,24
2020-04-29,69,44
2020-04-30,58,46
2020-05-01,26,39
2020-03-04,68,34
2020-03-05,46,32
2020-03-06,16,41
2020-03-07,35,39
2020-03-08,33,31
2020-03-09,27,25
2020-03-10,29,22
2020-03-11,47,25
2020-03-12,38,21
2020-03-13,40,22
2020-03-14,62,23
2020-03-15,50,22
2020-03-16,50,18
2020-03-17,38,19
2020-03-18,42,19
2020-03-19,48,22
2020-03-20,58,18
2020-03-21,52,9
2020-03-22,19,21
2020-03-23,32,21
2020-03-24,45,31
2020-03-25,56,19
2020-03-26,47, 
2020-02-02,30,30
2020-02-03,48,28
2020-02-04,32,24
2020-02-05,48,16
2020-02-06,43,27
2020-02-07,24,26
2020-02-08,28,29
2020-02-09,27,24
2020-02-10,43,18
2020-02-11,68,12
2020-02-12,36,8
2020-02-13,13,33
2020-02-14,28,28
2020-02-15,28,29
2020-02-16,28,22
2020-02-17,23,18
2020-02-18,51,20
2020-02-19,54,13
2020-02-20,30,15
2020-02-21,9,27
2020-02-22,23,30
2020-02-23,32,27
2020-02-24,30,30
2020-02-25,32,27
2020-02-26,52,30
2020-02-27,16,34
2020-02-28,22,28
2020-02-29,47, 
2020-01-02,28,15
2020-01-03,28,27
2020-01-04,21,28
2020-01-05,19,30
2020-01-06,22,28
2020-01-07,27,34
2020-01-08,33,30
2020-01-09,24,26
2020-01-10,23,23
2020-01-11,42,30
2020-01-12,23,28
2020-01-13,36,21
2020-01-14,32,15
2020-01-15,39,17
2020-01-16,43,19
2020-01-17,42,25
2020-01-18,31,25
2020-01-19,38,29
2020-01-20,19,34
2020-01-21,19,29
2020-01-22,20,23
2020-01-23,23,27
2020-01-24,23,29
2020-01-25,26,22
2020-01-26,28,27
2020-01-27,37,29
2020-01-28,39,30
2020-01-29,24,30
2020-01-30,33,21
2020-01-31,42,20
2020-02-01,29,28
2019-10-02,26,28
2019-10-03,31,27
2019-10-04,28,25
2019-10-05,19,28
2019-10-06,25,30
2019-10-07,25,27
2019-10-08,21,36
2019-10-09,34,26
2019-10-10,34,18
2019-10-11,23,17
2019-10-12,27,30
2019-10-13,13,32
2019-10-14,22,23
2019-10-15,31,18
2019-10-16,21,28
2019-10-17,21,32
2019-10-18,30,33
2019-10-19,35,27
2019-10-20,33,14
2019-10-21,33,30
2019-10-22,43,35
2019-10-23,22,33
2019-10-24,26,25
2019-10-25,23,28
2019-10-26,14,29
2019-10-27,23,32
2019-10-28,27,26
2019-10-29,17,16
2019-10-30,33,16
2019-10-31,51,22
2019-11-01,18,30
2019-11-02,22,36
2019-11-03,20,38
2019-11-04,26,25
2019-11-05,27,22
2019-11-06,26,31
2019-11-07,27,20
2019-11-08,34,7
2019-11-09,11,28
2019-11-10,38,27
2019-11-11,37,24
2019-11-12,28,17
2019-11-13,12,20
2019-11-14,10,21
2019-11-15,18,33
2019-11-16,30,37
2019-11-17,47,31
2019-11-18,41,38
2019-11-19,41,34
2019-11-20,48,25
2019-11-21,36,25
2019-11-22,45,23
2019-11-23,61,19
2019-11-24,35,34
2019-11-25,43,27
2019-11-26,44,21
2019-11-27,68,24
2019-11-28,59,24
2019-11-29,41,13
