date, pm25, o3
2020-08-02,61,36
2020-08-03,50,33
2020-08-04,54,31
2020-08-05,61,30
2020-08-06,48, 
2020-07-02,42,38
2020-07-03,46,38
2020-07-04,47,35
2020-07-05,46,37
2020-07-06,56,39
2020-07-07,67,37
2020-07-08,65,33
2020-07-09,61,39
2020-07-10,48,47
2020-07-11,58,41
2020-07-12,46,41
2020-07-13,46,32
2020-07-14,53,31
2020-07-15,45,35
2020-07-16,35,33
2020-07-17,32,33
2020-07-18,28,35
2020-07-19,31,33
2020-07-20,31,30
2020-07-21,36,32
2020-07-22,39,35
2020-07-23,39,35
2020-07-24,29,30
2020-07-25,34,36
2020-07-26,27,37
2020-07-27,40,33
2020-07-28,44,32
2020-07-29,44,33
2020-07-30,45,37
2020-07-31,44,36
2020-08-01,56,33
2020-06-02,40,34
2020-06-03,60,45
2020-06-04,61,35
2020-06-05,54,25
2020-06-06,30,25
2020-06-07,17,29
2020-06-08,23,47
2020-06-09,42,40
2020-06-10,49,81
2020-06-11,86,53
2020-06-12,81,31
2020-06-13,52,32
2020-06-14,42,31
2020-06-15,47,31
2020-06-16,48,27
2020-06-17,47,30
2020-06-18,38,33
2020-06-19,46,36
2020-06-20,39,31
2020-06-21,26,35
2020-06-22,29,39
2020-06-23,41,36
2020-06-24,35,34
2020-06-25,25,39
2020-06-26,37,38
2020-06-27,31,31
2020-06-28,26,27
2020-06-29,18,26
2020-06-30,19,33
2020-07-01,33,38
2020-05-02,59,42
2020-05-03,59,30
2020-05-04,49,36
2020-05-05,49,46
2020-05-06,62,61
2020-05-07,69,60
2020-05-08,80,43
2020-05-09,78,38
2020-05-10,58,33
2020-05-11,50,40
2020-05-12,39,35
2020-05-13,28,36
2020-05-14,19,30
2020-05-15,33,31
2020-05-16,44,40
2020-05-17,48,36
2020-05-18,52,26
2020-05-19,23,32
2020-05-20,20,34
2020-05-21,27,40
2020-05-22,46,36
2020-05-23,53,38
2020-05-24,44,38
2020-05-25,45,38
2020-05-26,46,41
2020-05-27,46,40
2020-05-28,38,29
2020-05-29,26,27
2020-05-30,37,27
2020-05-31,17,26
2020-06-01,26,37
2020-04-02,68,35
2020-04-03,41,37
2020-04-04,44,33
2020-04-05,39,32
2020-04-06,21,27
2020-04-07,12,27
2020-04-08,12,31
2020-04-09,13,32
2020-04-10,8,33
2020-04-11,11,37
2020-04-12,16,33
2020-04-13,13,30
2020-04-14,11,36
2020-04-15,29,44
2020-04-16,43,42
2020-04-17,41,33
2020-04-18,38,32
2020-04-19,9,33
2020-04-20,15,32
2020-04-21,22,34
2020-04-22,27,40
2020-04-23,47,49
2020-04-24,60,54
2020-04-25,54,57
2020-04-26,66,44
2020-04-27,48,36
2020-04-28,50,37
2020-04-29,50,39
2020-04-30,53,43
2020-05-01,63,47
2020-03-02,33,28
2020-03-03,19,34
2020-03-04,30,32
2020-03-05,57,36
2020-03-06,52,34
2020-03-07,50,34
2020-03-08,28,29
2020-03-09,11,27
2020-03-10,24,18
2020-03-11,20,26
2020-03-12,18,36
2020-03-13,26,26
2020-03-14,14,32
2020-03-15,17,31
2020-03-16,23,31
2020-03-17,27,37
2020-03-18,11,33
2020-03-19,18,28
2020-03-20,18,31
2020-03-21,14,36
2020-03-22,25,30
2020-03-23,24,34
2020-03-24,9,34
2020-03-25,11,36
2020-03-26,6,35
2020-03-27,8,38
2020-03-28,12,38
2020-03-29,30,39
2020-03-30,34,30
2020-03-31,34,23
2020-04-01,55,35
2020-02-02,27,32
2020-02-03,34,33
2020-02-04,40,33
