date, pm25, pm10, o3, no2
2020-08-02,58,19,47,9
2020-08-03,60,16,38,13
2020-08-04,53,24,59,15
2020-08-05,68,19,68,12
2020-08-06,52,10,19,8
2020-08-07,25, , , 
2020-07-02,48,42,75,11
2020-07-03,97,42,58,9
2020-07-04,94,26,67,9
2020-07-05,74, ,58,6
2020-07-09,20,17,62,15
2020-07-10,43,20,57,13
2020-07-11,52,15,44,8
2020-07-12,41,14,54,7
2020-07-13,41,19,69,11
2020-07-14,49,22,78,11
2020-07-15,58,26,73,12
2020-07-16,64,26,72,9
2020-07-17,57,35,56,8
2020-07-18,66,32,59,9
2020-07-19,74, ,56,7
2020-07-21,64,21,75,12
2020-07-22,57,16,74,10
2020-07-23,43,22,82,10
2020-07-24,61,20,81,8
2020-07-25,53,19,93,10
2020-07-26,54,12,35,10
2020-07-27,40,15,41,10
2020-07-28,40,9,23,7
2020-07-29,34,13,27,16
2020-07-30,40,25,63,17
2020-07-31,66,17,32,14
2020-08-01,48,18,37,16
2020-06-02,68,29,56,10
2020-06-03,70,15,24,6
2020-06-04,31,21,45,8
2020-06-05,45,21,56,7
2020-06-06,54,23,60,8
2020-06-07,53,18,52,6
2020-06-08,45,15,75,7
2020-06-09,44,19,75,9
2020-06-10,50,25,62,10
2020-06-11,50,21,41,9
2020-06-12,47,17,37,7
2020-06-13,29,19,52,8
2020-06-14,38,29,65,7
2020-06-15,74,31,70,11
2020-06-16,76,36,92,11
2020-06-17,79,39,80,12
2020-06-18,87,27,58,10
2020-06-19,64,17,120,9
2020-06-20,49,32,73,5
2020-06-21,68,24,65,11
2020-06-22,66,26,45,19
2020-06-23,68,13,51,10
2020-06-24,41,10,33,11
2020-06-25,35,9,25,10
2020-06-26,27,14,34,11
2020-06-27,38,25,81,7
2020-06-28,58,29,58,6
2020-06-29,62,31,62,10
2020-06-30,71,22,82,10
2020-07-01,59,18,59,9
2020-05-02,51,27,85,11
2020-05-03,68,21,80,6
2020-05-04,56,24,68,7
2020-05-05,54,29,70,8
2020-05-06,61,23,87,7
2020-05-07,64,25,44,15
2020-05-08,71,27,62,8
2020-05-09,77,41,68,10
2020-05-10,100,30,80,7
2020-05-11,83,29,76,10
2020-05-12,78,33,70,8
2020-05-13,88,36,65,8
2020-05-14,95,44,74,9
2020-05-15,116,51,72,11
2020-05-16,131,35,48,5
2020-05-17,90,38,83,6
2020-05-18,99,50,91,8
2020-05-19,131, ,89,8
2020-05-22,132,37,88,15
2020-05-23,86,30,81,9
2020-05-24,72,29,68,6
2020-05-25,74,33,81,9
2020-05-26,76,29,85,11
2020-05-27,70,48,102,14
2020-05-28,109,39,87,14
2020-05-29,85,22,58,11
2020-05-30,55,19,52,9
2020-05-31,50,21,64,9
2020-06-01,59,27,66,9
2020-04-02,69,35,74,10
2020-04-03,72,26,74,10
2020-04-04,58,22,62,9
2020-04-05,53,25,66,8
2020-04-06,61,28,51,12
2020-04-07,61,29,52,12
2020-04-08,64,30,85,10
2020-04-09,65,34,81,12
2020-04-10,74,29,69,8
2020-04-11,67,35,56,5
2020-04-12,73,30,37,6
2020-04-13,65,28,79,11
2020-04-14,64,42,52,8
2020-04-15,83,43,73,10
2020-04-16,98,44,75,10
2020-04-17,92,48,93,13
2020-04-18,103,45,89,13
2020-04-19,96,50,86,11
2020-04-20,112,45,92,9
2020-04-21,89,49,84,9
2020-04-22,72,33,86,10
