date, pm25, pm10, o3, no2
2020-08-02,61,28,39,13
2020-08-03,69,25,36,12
2020-08-04,66,33,12,17
2020-08-05,74, , , 
2020-07-02,58,39,47,12
2020-07-03,73,35,57,12
2020-07-04,67,25,44,13
2020-07-05,62,26,42,13
2020-07-06,69,27,42,16
2020-07-07,65,16,28,8
2020-07-08,39,14,21,10
2020-07-09,41,19,35,11
2020-07-10,49,28,55,17
2020-07-11,59,25,37,13
2020-07-12,58,16,44,6
2020-07-13,40,31,46,18
2020-07-14,68,32,52,17
2020-07-15,66,37,46,21
2020-07-16,82,35,64,11
2020-07-17,65,43,41,11
2020-07-18,72,52,47,12
2020-07-19,88,39,39,12
2020-07-20,77,33,46,16
2020-07-21,68,22,46,13
2020-07-22,57,26,53,18
2020-07-23,66,23,51,15
2020-07-24,61,23,55,13
2020-07-25,57,28,62,15
2020-07-26,70,24,44,10
2020-07-27,64,23,34,10
2020-07-28,53,14,26,7
2020-07-29,32,19,26,8
2020-07-30,39,31,46,12
2020-07-31,64,19,26,10
2020-08-01,45,23,28,18
2020-06-02,81,35,48,12
2020-06-03,78,25,31,9
2020-06-04,59,26,44,9
2020-06-05,57,30,46,10
2020-06-06,64,35,40,14
2020-06-07,70,29,40,11
2020-06-08,65,28,42,17
2020-06-09,66,27,59,14
2020-06-10,63,31,54,13
2020-06-11,69,29,38,11
2020-06-12,67,23,38,8
2020-06-13,47,27,47,9
2020-06-14,61,30,56,9
2020-06-15,66,31,50,13
2020-06-16,62,43,60,14
2020-06-17,82,43,47,14
2020-06-18,80,39,42,14
2020-06-19,78,36,45,15
2020-06-20,68,35,42,11
2020-06-21,71,27,44,12
2020-06-22,64,28,26,15
2020-06-23,67,25,34,13
2020-06-24,61,15,29,9
2020-06-25,44,14,18,6
2020-06-26,41,20,26,7
2020-06-27,48,36,39,11
2020-06-28,69,39,41,9
2020-06-29,76,39,53,12
2020-06-30,76,26,50,12
2020-07-01,60,23,43,11
2020-05-02,67,37,57,17
2020-05-03,82,36,59,13
2020-05-04,77,40,53,16
2020-05-05,83,42,50,15
2020-05-06,83,30,63,11
2020-05-07,65,28,47,14
2020-05-08,71,40,47,17
2020-05-09,96,38,48,12
2020-05-10,89,30,55,10
2020-05-11,70,36,50,16
2020-05-12,79,40,55,16
2020-05-13,87,46,49,18
2020-05-14,93,49,53,19
2020-05-15,99,46,50,18
2020-05-16,87,39,42,17
2020-05-17,71,37,51,12
2020-05-18,73,52,59,20
2020-05-19,99,45,60,19
2020-05-20,94,58,74,19
2020-05-21,134,61,72,20
2020-05-22,127,48,50,14
2020-05-23,89,45,50,16
2020-05-24,79,47,53,13
2020-05-25,94,44,60,15
2020-05-26,71,55,71,15
2020-05-27,96,60,74,18
2020-05-28,121,54,64,15
2020-05-29,106,37,50,16
2020-05-30,78,26,42,12
2020-05-31,66,35,48,14
2020-06-01,85,37,51,16
2020-04-02,83,45,49,18
2020-04-03,83,44,45,18
2020-04-04,82,38,58,16
2020-04-05,75,39,46,13
2020-04-06,76,42,44,15
2020-04-07,73,43,42,16
2020-04-08,73,43,45,17
2020-04-09,77,46,48,16
2020-04-10,79,37,42,11
2020-04-11,72,45,40,11
2020-04-12,78,42,35,10
2020-04-13,75,45,42,16
2020-04-14,80,52,36,13
2020-04-15,82,45,40,16
2020-04-16,76,54,45,17
2020-04-17,95,53,50,15
2020-04-18,93,57,57,16
2020-04-19,103,53,43,12
2020-04-20,103,47,46,17
2020-04-21,90,50,50,18
2020-04-22,87,36,48,17
2020-04-23,74,41,46,19
2020-04-24,84,49,50,20
2020-04-25,94,47,43,16
2020-04-26,95,38,48,10
2020-04-27,84,40,55,15
2020-04-28,78,36,48,16
2020-04-29,76,37,44,14
2020-04-30,72,30,47,13
2020-05-01,60,29,43,15
2020-03-02,82,48,21,25
2020-03-03,83,50,31,19
2020-03-04,71,50,34,23
2020-03-05,80,57,40,25
2020-03-06,84,61,60,27
2020-03-07,99,59,47,26
2020-03-08,105,54,52,21
2020-03-09,94,49,38,20
2020-03-10,82,51,51,26
2020-03-11,91,51,42,26
2020-03-12,86,53,50,28
2020-03-13,90,47,44,27
2020-03-14,85,43,46,19
2020-03-15,77,35,46,14
2020-03-16,70,42,41,19
2020-03-17,82,39,37,27
2020-03-18,81, , , 
2020-03-20,68,42,47,19
2020-03-21,75,47,48,15
2020-03-22,85,43,49,16
2020-03-23,84,46,53,19
2020-03-24,78,43,47,18
2020-03-25,72,50,66,20
2020-03-26,74,53,37,19
2020-03-27,74,47,31,17
2020-03-28,74,49,50,18
2020-03-29,78,50,53,13
2020-03-30,84,53,68,16
2020-03-31,90,52,59,14
2020-04-01,85,51,53,18
2020-02-02,66,37,19,15
2020-02-03,67,36,25,12
2020-02-04,58,30,20,11
2020-02-05,55,17,16,8
2020-02-06,43,21,30,14
2020-02-07,43,38,29,22
2020-02-08,75,46,39,22
2020-02-09,75,36,38,17
2020-02-10,67,46,36,19
2020-02-11,71,50,41,23
2020-02-12,81,46,32,18
2020-02-13,82,49,36,21
2020-02-14,77,52,35,26
2020-02-15,85,53,48,26
2020-02-16,99,40,35,21
2020-02-17,74,47,36,25
2020-02-18,73,51,46,29
2020-02-19,82,61,54,29
2020-02-20,92,56,42,24
2020-02-21,91,51,37,16
2020-02-22,76,47,53,20
2020-02-23,77,47,52,19
2020-02-24,80,57,37,19
2020-02-25,81,46,31,19
2020-02-26,78,50,31,17
2020-02-27,74,49,35,17
2020-02-28,72,56,52,28
2020-02-29,91,54,42,26
2020-03-01,87,46,40,23
2020-01-08,89,63,45,27
2020-01-09,92,56,39,28
2020-01-10,90,51,30,24
2020-01-11,76,44,35,24
2020-01-12,72,44,32,20
2020-01-13,76,49,36,23
2020-01-14,75,49,20,22
2020-01-15,78,46,32,20
2020-01-16,71,46,40,16
2020-01-17,72,40,34,19
2020-01-18,64,40,39,22
2020-01-19,73,24,28,11
2020-01-20,60,21,24,16
2020-01-21,53,36,27,24
2020-01-22,77,35,36,21
2020-01-23,73,35,24,20
2020-01-24,71,39,27,18
2020-01-25,71,39,26,17
2020-01-26,69,36,31,15
2020-01-27,69,36,33,19
2020-01-28,62,39,31,24
2020-01-29,62,47,31,20
2020-01-30,64,34,27,15
