date, pm25, pm10, no2
2020-08-02,42,16,3
2020-08-03,30,16,1
2020-08-04,29,20,1
2020-08-05,32,23,1
2020-08-06,41,19, 
2020-08-07,50, , 
2020-07-02,79,61,1
2020-07-03,86,39,3
2020-07-04,69,30,2
2020-07-05,60,23,1
2020-07-06,53,29,1
2020-07-07,123,35, 
2020-07-08,56,33,1
2020-07-09,59,33,2
2020-07-10,63,26,1
2020-07-11,55,18,3
2020-07-12,41,20,1
2020-07-13,39, , 
2020-07-19,68,29,3
2020-07-20,59,22,1
2020-07-21,43,20,1
2020-07-22,42,26,1
2020-07-23,65,78,1
2020-07-24,109,22,1
2020-07-25,57,26,1
2020-07-26,62,30, 
2020-07-27,178,24,4
2020-07-28,140,15,3
2020-07-29,30,22,2
2020-07-30,40,29,2
2020-07-31,54,19,2
2020-08-01,34,19,2
2020-06-02,300,11,2
2020-06-03,24,12,2
2020-06-04,30,9,1
2020-06-05,21,12,1
2020-06-06,28,17, 
2020-06-07,36,13, 
2020-06-08,38,18,1
2020-06-09,53,24, 
2020-06-10,60,22,3
2020-06-11,52,10,4
2020-06-12,21,14,3
2020-06-13,24,26,4
2020-06-14,41,20,3
2020-06-15,34,20,3
2020-06-16,45,18,3
2020-06-17,85,10,2
2020-06-18,26,14,1
2020-06-19,37,50,1
2020-06-20,69,14,1
2020-06-21,37,18, 
2020-06-22,48,31,1
2020-06-23,59,45,2
2020-06-24,75,9,2
2020-06-25,24,57,1
2020-06-26,67,77,2
2020-06-27,104,106,1
2020-06-28,146,53,1
2020-06-29,81,44,1
2020-06-30,70,83,1
2020-07-01,84,78,1
2020-05-02,30, , 
2020-05-05,66,27, 
2020-05-06,65,26,2
2020-05-07,64,19,1
2020-05-08,53,24,1
2020-05-09,86,15, 
2020-05-10,22,13,1
2020-05-11,26,11,1
2020-05-12,18,18,1
2020-05-13,31,22,1
2020-05-14,47,41,1
2020-05-15,97,46, 
2020-05-16,114,50, 
2020-05-17,124,22, 
2020-05-18,50,26,2
2020-05-19,59,26, 
2020-05-20,62,42, 
2020-05-21,103,42,1
2020-05-22,98,28, 
2020-05-23,72, , 
2020-05-26,132,30, 
2020-05-27,73,32,3
2020-05-28,71,34,4
2020-05-29,80,50,4
2020-05-30,71,13,4
2020-05-31,30,13,2
2020-06-01,33,127,1
