date, pm25, o3, no2
2020-08-02,53,47,15
2020-08-03,67,37,11
2020-08-04,48,50,21
2020-08-05,61,58,13
2020-08-06,44,19,7
2020-08-07,55, , 
2020-07-02,49,77,11
2020-07-03,60,60,11
2020-07-04,55,64,12
2020-07-05,59,41,10
2020-07-06,49,36,11
2020-07-07,30,31,9
2020-07-08,35,20,9
2020-07-09,25,64,18
2020-07-10,51,59,18
2020-07-11,48,49,11
2020-07-12,36,48,9
2020-07-13,40,63,13
2020-07-14,41,74,16
2020-07-15,61,61,12
2020-07-16,48,74,14
2020-07-17,63,47,10
2020-07-18,69,53,11
2020-07-19,69,63,10
2020-07-20,70,94,17
2020-07-21,66,69,14
2020-07-22,61,76,13
2020-07-23,42,72,14
2020-07-24,60,61,10
2020-07-25,46,78,12
2020-07-26,60,38,9
2020-07-27,33,34,8
2020-07-28,31,27,7
2020-07-29,24,29,12
2020-07-30,29,64,18
2020-07-31,62,36,12
2020-08-01,38,50,17
2020-06-02,69,61,10
2020-06-03,62,25,7
2020-06-04,26,41,9
2020-06-05,39,26,10
2020-06-06,53,64, 
2020-06-07,51,55, 
2020-06-08,45,61,7
2020-06-09,45,87,15
2020-06-10,50,55,13
2020-06-11,52,46,7
2020-06-12,48,35,7
2020-06-13,31,66,11
2020-06-14,36,71,9
2020-06-15,48,73,13
2020-06-16,65,90,13
2020-06-17,65,108,14
2020-06-18,66, , 
2020-06-23,67,54,13
2020-06-24,44,28,9
2020-06-25,31,4,10
2020-06-26,28, , 
2020-06-28,71,48,6
2020-06-29,66,56,14
2020-06-30,71,73,11
2020-07-01,61,49,8
2020-05-02,44,80,15
2020-05-03,62,79,9
2020-05-04,66,72,10
2020-05-05,58,79,12
2020-05-06,72,78,12
2020-05-07,53,48,16
2020-05-08,62,68,12
2020-05-09,67,68,13
2020-05-10,79,76,9
2020-05-11,57,73,10
2020-05-12,45,78,13
2020-05-13,69,59,11
2020-05-14,80,70,12
2020-05-15,97,69,12
2020-05-16,93,52,10
2020-05-17,71,75,12
2020-05-18,74,90,11
2020-05-19,77,84,11
2020-05-20,65,105,16
2020-05-21,106,85,15
2020-05-22,130,89,17
2020-05-23,105,74,15
2020-05-24,80,67,8
2020-05-25,80,78,11
2020-05-26,71,78,10
2020-05-27,87,96,15
2020-05-28,113,89,16
2020-05-29,96,62,14
2020-05-30,53,54,11
2020-05-31,44,62,9
2020-06-01,47,72,13
2020-04-02,83,78,17
2020-04-03,84,65,13
2020-04-04,64,60,14
2020-04-05,61,59,11
2020-04-06,61,50,14
2020-04-07,70,61,15
2020-04-08,69,74,15
2020-04-09,73,76,16
2020-04-10,75,78,12
2020-04-11,79,49,8
2020-04-12,81,43,4
2020-04-13,70,70,12
2020-04-14,84,49,12
2020-04-15,82,59,12
2020-04-16,102,65,9
2020-04-17,87,85,15
2020-04-18,96,95,19
2020-04-19,104,80,11
2020-04-20,112,97,14
2020-04-21,97,79,12
2020-04-22,84,81,12
2020-04-23,71,76,13
2020-04-24,67,82,14
2020-04-25,88,60,14
2020-04-26,82,63,9
2020-04-27,63,76,12
2020-04-28,43,66,12
2020-04-29,62,67,13
2020-04-30,61,74,12
2020-05-01,46,66,12
2020-03-02,77,35,16
2020-03-03,77,35,12
2020-03-04,52,46,12
2020-03-05,52,71,25
