date,med_temp,med_hum,pm25,pm10,o3,no2,home,work,transit,parks,grocery,retail
2020-02-15,21,55.5094827717139,NaN,NaN,NaN,NaN,-1,3,-6,4,3,3
2020-02-16,23,57.6973513402245,NaN,NaN,NaN,NaN,0,2,-1,4,6,4
2020-02-17,23,60.3806648453332,NaN,42,30,31,-2,10,0,2,3,0
2020-02-18,24.5,55.5687830709814,54,48,53,44,-1,7,2,3,-2,1
2020-02-19,23,64.9518022559629,66,57,59,45,-1,6,0,3,-2,0
2020-02-20,23,64.6239352534018,79,57,40,32,-1,6,7,12,1,4
2020-02-21,24,61.0190511556517,84,29,55,21,-2,10,15,28,-2,0
2020-02-22,25,69.4139480825351,44,15,84,28,-1,2,14,61,2,3
2020-02-23,23.5,61.5356587045927,36,53,87,34,-2,0,23,58,7,10
2020-02-24,21,64.4237252690019,79,49,55,30,1,-7,14,40,-1,5
2020-02-25,21.5,62.5135751301396,64,36,34,25,2,-10,16,45,-3,3
2020-02-26,21.5,70.4182182715116,44,48,55,30,0,5,9,9,-2,-1
2020-02-27,22,64.4204118795764,63,48,48,29,-1,7,5,0,2,2
2020-02-28,22.5,65.2649012300356,71,47,61,33,-1,11,3,1,6,-2
2020-02-29,23.2,58.9173966786328,65,46,60,36,0,5,-4,-2,5,0
2020-03-01,25,47.0995691500996,70,51,74,35,0,3,-1,8,8,3
2020-03-02,23,56.0962876114362,85,51,23,41,-2,10,-2,-2,5,-2
2020-03-03,19,77.4041375453567,83,48,34,22,0,6,-1,-4,0,0
2020-03-04,18,63.7100363480885,51,42,33,28,0,7,-3,1,0,-1
2020-03-05,20,56.3295321368339,54,58,65,31,0,8,-3,0,1,0
2020-03-06,23,61.2274157507666,71,65,36,32,0,12,0,4,-4,-8
2020-03-07,23,69.2394692182506,104,63,59,32,0,4,-9,4,-2,-4
2020-03-08,24,69.2394692182506,113,49,71,26,1,4,-10,12,1,1
2020-03-09,26.5,53.7820480752954,81,46,53,28,7,-20,-8,-4,-10,-15
2020-03-10,25.5,65.4932532630039,75,55,73,31,-1,7,4,1,-2,-2
2020-03-11,30,42.7722111430687,89,52,38,36,-1,6,-2,2,-1,-2
2020-03-12,27,54.1291213118307,92,55,66,36,-2,7,3,7,4,1
2020-03-13,26.5,59.6655982236648,71,48,47,31,-1,6,12,13,5,2
2020-03-14,26,60.1239357960965,70,54,65,28,-1,3,10,15,11,4
2020-03-15,24.5,50.4099182079417,67,32,51,21,-1,2,-11,28,12,4
2020-03-16,24.5,57.4587667567145,57,34,35,22,10,-54,6,12,2,-10
2020-03-17,21,65.0156607082207,65,37,41,34,1,2,8,-9,6,-5
2020-03-18,23,68.884553356274,73,NaN,NaN,NaN,4,-2,-8,-12,4,-10
2020-03-19,23,69.0620112872623,NaN,NaN,18,23,6,-8,-15,-15,4,-13
2020-03-20,23.5,61.7027325929907,NaN,NaN,45,27,7,-6,-26,-18,0,-21
2020-03-21,22,49.7980334077452,NaN,NaN,52,22,8,-6,-29,-29,-4,-28
2020-03-22,24,50.7707674270471,NaN,NaN,59,20,9,-8,-38,-31,-9,-36
2020-03-23,24,57.2390837841855,NaN,NaN,63,31,12,-28,-39,-27,-12,-30
2020-03-24,25.5,59.7023483385879,NaN,NaN,59,36,14,-33,-39,-32,-15,-33
2020-03-25,24,61.1408247044458,NaN,NaN,87,31,15,-36,-44,-31,-17,-35
2020-03-26,23,64.8208674490189,NaN,NaN,57,33,15,-37,-47,-31,-17,-36
2020-03-27,24.5,57.5830270472971,NaN,50,38,28,17,-33,-53,-32,-17,-39
2020-03-28,23,47.8037899894264,70,52,71,22,12,-18,-50,-36,-14,-39
2020-03-29,23,42.0310003864864,89,62,89,20,13,-19,-56,-40,-16,-46
2020-03-30,24.75,48.5747093698599,92,59,80,NaN,15,-38,-49,-33,-14,-36
2020-03-31,23.5,55.3940921318259,94,57,46,NaN,16,-42,-47,-34,-14,-34
2020-04-01,23,64.8208674490189,70,50,73,NaN,17,-44,-46,-34,-13,-36
2020-04-02,24,44.0886496384451,82,47,70,NaN,18,-45,-50,-36,-10,-43
2020-04-03,27,39.3477189113936,82,38,48,NaN,20,-42,-56,-38,-12,-52
2020-04-04,27.65,36.6213431258,71,32,74,21,15,-26,-52,-44,-10,-53
2020-04-05,24.4,49.0895337674035,66,30,61,15,15,-26,-58,-48,-18,-61
2020-04-06,26,47.5961651507953,59,42,52,22,19,-49,-57,-40,-16,-54
2020-04-07,27,50.2316662603837,75,39,61,20,20,-52,-53,-42,-20,-53
2020-04-08,23.6,71.3927970789474,69,47,74,23,20,-54,-53,-41,-18,-53
2020-04-09,26,53.8984823577774,84,41,86,23,24,-68,-60,-44,-24,-64
2020-04-10,26,57.6802689560102,79,40,78,18,29,-72,-73,-50,-34,-73
2020-04-11,25,40.7229322281032,77,41,57,16,22,-57,-72,-55,-32,-71
2020-04-12,22,46.9697961402579,71,39,41,13,16,-35,-66,-57,-34,-70
2020-04-13,23.5,48.5734961886561,63,45,85,22,21,-51,-63,-47,-24,-59
2020-04-14,23,46.8479701002966,84,54,54,26,22,-53,-59,-48,-25,-58
2020-04-15,26,44.5966285352433,87,52,74,NaN,22,-53,-58,-46,-19,-56
2020-04-16,24.5,54.2023293810817,93,53,91,23,23,-54,-62,-47,-20,-56
2020-04-17,25,44.4316928351545,99,53,101,25,26,-50,-64,-50,-25,-61
2020-04-18,25,54.1291213118307,93,55,99,27,20,-35,-67,-56,-31,-65
2020-04-19,22,73.5388003370107,111,54,97,17,18,-32,-70,-61,-36,-70
2020-04-20,26,57.6883058194389,111,52,88,22,22,-51,-65,-50,-32,-62
2020-04-21,25,53.8984823577774,83,63,81,22,24,-54,-64,-54,-38,-65
2020-04-22,28,41.7638165202094,83,43,83,23,24,-54,-65,-54,-36,-65
2020-04-23,28,48.0841274968083,85,38,61,27,25,-55,-66,-55,-36,-66
2020-04-24,26,44.5966285352433,70,44,70,24,26,-51,-69,-56,-37,-68
2020-04-25,30,40.6091491737395,90,37,63,24,21,-36,-70,-58,-34,-68
2020-04-26,28.5,39.4092269360731,74,27,56,11,19,-32,-74,-62,-39,-72
2020-04-27,28.7,41.2526404108055,62,27,67,17,24,-51,-68,-52,-34,-64
2020-04-28,29.5,31.4267022163419,55,38,56,25,18,-53,-64,-53,-36,-63
2020-04-29,28,44.5966285352433,65,41,64,25,23,-53,-64,-50,-28,-60
2020-04-30,28.5,54.6937655146058,70,26,68,17,19,-51,-60,-46,-15,-50
2020-05-01,30,40.110223252917,46,25,61,20,29,-64,-72,-55,-34,-69
2020-05-02,31,31.1077565108564,58,33,68,20,20,-37,-67,-57,-28,-64
2020-05-03,32,27.9584052360894,70,33,71,15,17,-28,-72,-60,-36,-70
2020-05-04,32.3,32.2869008350378,61,33,59,23,22,-50,-66,-49,-28,-60
2020-05-05,29,45.8301481163057,57,36,61,18,23,-53,-63,-51,-31,-60
2020-05-06,31,48.3249333762394,60,34,71,16,23,-52,-63,-49,-30,-60
2020-05-07,31,31.1077565108564,67,32,46,22,23,-52,-63,-49,-27,-59
2020-05-08,29,42.9654450074657,81,34,62,23,25,-47,-66,-50,-25,-60
2020-05-09,30.4,36.4273633903695,77,40,75,16,19,-32,-65,-53,-20,-61
2020-05-10,31.2,31.6080497207143,92,23,73,13,13,-12,-73,-56,-32,-69
2020-05-11,29.5,40.1849266382274,60,25,73,18,22,-50,-68,-51,-33,-63
2020-05-12,30.95,29.7892249194058,62,37,76,22,23,-51,-61,-50,-31,-60
2020-05-13,28.5,38.2149284086719,81,40,62,23,23,-51,-63,-49,-30,-60
2020-05-14,29.5,40.058716446319,91,44,80,26,23,-51,-61,-48,-25,-57
2020-05-15,31.25,31.8794172024727,99,43,74,24,24,-46,-65,-46,-20,-58
2020-05-16,29,48.3238912722602,91,33,51,16,18,-29,-62,-52,-20,-59
2020-05-17,29.5,46.8525815578364,70,36,84,15,17,-21,-68,-56,-27,-66
2020-05-18,29,48.3249333762394,78,47,77,19,21,-46,-61,-45,-23,-56
2020-05-19,29,40.2417964180547,81,37,83,22,21,-49,-58,-44,-20,-56
2020-05-20,29.125,48.3954873594712,75,51,86,26,22,-49,-59,-43,-23,-59
2020-05-21,31,48.8003166366983,103,57,91,26,23,-49,-60,-45,-24,-60
