date,med_temp,med_hum,pm25,pm10,o3,no2,home,work,transit,parks,grocery,retail
2020-02-15,14.125,74.3178519495765,89,NaN,NaN,NaN,-1,4,6,6,6,6
2020-02-16,18.5,47.1744162837804,NaN,NaN,NaN,NaN,-1,2,6,4,6,7
2020-02-17,19.3333333333333,28.1587727683755,NaN,52,30,30,-3,11,8,1,1,1
2020-02-18,20.25,22.9454271398038,57,61,53,28,-2,10,5,3,1,1
2020-02-19,20.5,15.5999214653259,72,56,39,28,-2,9,6,2,0,1
2020-02-20,18.1666666666667,45.6999406680437,72,59,41,21,-2,9,3,1,0,1
2020-02-21,15,55.1388363302077,87,45,44,13,-2,13,5,4,-1,0
2020-02-22,13.75,55.8135277333367,54,44,51,19,0,4,3,4,0,-2
2020-02-23,18.5,41.4604530469226,66,53,64,23,-1,2,5,1,0,-2
2020-02-24,20.5,32.860382942065,78,63,41,25,-2,11,6,2,-3,-4
2020-02-25,20.5,36.5049761783664,73,41,33,21,-2,10,0,3,-2,-3
2020-02-26,18,33.7797172099741,57,57,39,19,-2,9,0,12,1,-1
2020-02-27,11.5,56.124755951647,64,52,40,21,-2,9,4,2,1,2
2020-02-28,17,39.2360849167604,86,49,47,21,-3,13,9,6,6,7
2020-02-29,16,36.6208152323582,69,45,42,26,-1,5,4,5,9,5
2020-03-01,18.5,35.8257040745678,72,54,50,25,-1,3,5,3,8,6
2020-03-02,21,40.1899157109373,86,51,29,26,-1,5,3,0,4,2
2020-03-03,21,34.0494867735025,77,51,24,24,-2,10,2,4,4,3
2020-03-04,20,34.9697068975195,58,43,44,23,-2,10,3,5,4,2
2020-03-05,20,34.6969181241975,57,59,46,24,-2,11,5,4,4,3
2020-03-06,13,62.7938592578904,74,53,31,16,-2,13,4,3,1,0
2020-03-07,12,60.4403473624862,77,62,36,20,0,6,3,6,4,0
2020-03-08,16.5,39.5302031116455,108,47,42,21,0,5,3,5,4,4
2020-03-09,17.5,36.1670716625754,77,53,48,24,7,-17,-16,-6,-5,-8
2020-03-10,19.25,42.6063113858379,89,54,44,18,-2,11,4,2,2,0
2020-03-11,19.25,41.3504440724669,87,48,37,23,-2,10,2,3,2,0
2020-03-12,20.5,28.3847499227824,85,61,51,26,-2,10,2,3,3,2
2020-03-13,23.75,27.1946219856092,79,49,39,22,-1,3,7,2,5,6
2020-03-14,24,27.3259321645965,59,49,48,23,-1,4,5,1,8,2
2020-03-15,20,37.4718603679702,71,37,34,15,-2,2,-3,2,4,0
2020-03-16,18.25,54.6496149928487,67,29,34,15,14,-56,-35,-7,5,-3
2020-03-17,16,53.5503004276328,52,37,34,22,1,3,-8,-4,6,-1
2020-03-18,17.875,58.2189073761628,62,NaN,NaN,NaN,4,-3,-16,-8,3,-5
2020-03-19,19,45.8189594841214,NaN,37,26,11,5,-7,-19,-9,3,-6
2020-03-20,20,43.2222426857438,59,44,40,17,8,-12,-22,-12,0,-12
2020-03-21,19,54.1636902301541,69,37,38,14,7,-3,-24,-21,-2,-19
2020-03-22,17.75,63.8276888033255,67,38,49,17,5,-4,-27,-27,-6,-22
2020-03-23,20,21.8696902980112,68,41,52,19,11,-27,-34,-21,-8,-20
2020-03-24,20,32.7372741198303,60,53,47,25,13,-32,-39,-24,-7,-25
2020-03-25,22.5,18.5942494086369,78,52,66,23,15,-35,-41,-26,-10,-28
2020-03-26,23.25,25.3315810224699,72,60,58,23,16,-36,-43,-27,-12,-30
2020-03-27,23,17.3565998598397,86,68,40,25,17,-34,-44,-24,-10,-30
2020-03-28,21.75,28.7809227891673,93,55,53,17,12,-14,-39,-27,-7,-32
2020-03-29,21,34.5100943780692,85,58,62,10,9,-16,-41,-36,-12,-36
2020-03-30,19.5,52.6971195255097,94,56,55,14,15,-38,-45,-26,-12,-27
2020-03-31,22,24.711519163299,84,55,41,16,16,-40,-47,-27,-8,-26
2020-04-01,19,44.1683067871877,67,54,64,16,17,-43,-49,-29,-8,-28
2020-04-02,20.75,43.2685727569818,94,49,53,15,19,-45,-49,-32,-6,-38
2020-04-03,18.3333333333333,50.0875628171476,80,36,50,16,20,-42,-46,-29,-2,-48
2020-04-04,16,59.2702866354825,76,35,49,17,14,-23,-39,-30,0,-50
2020-04-05,21.5,39.9610770508024,70,25,43,13,11,-22,-42,-38,-8,-54
2020-04-06,20,49.2979514395833,48,43,39,20,18,-48,-49,-27,-6,-46
2020-04-07,21,37.7702896480056,80,46,52,17,19,-50,-52,-27,-6,-44
2020-04-08,22,37.7702896480056,80,47,51,19,19,-51,-50,-27,-3,-42
2020-04-09,20.5,43.046721,72,41,63,15,23,-63,-57,-29,-2,-48
2020-04-10,21.5,36.9354454655761,77,39,56,14,29,-73,-67,-40,-20,-63
2020-04-11,23.5,22.0591792960911,70,52,46,15,18,-46,-58,-41,-19,-60
2020-04-12,21.75,22.3165804630948,79,42,37,8,11,-27,-48,-47,-21,-58
2020-04-13,21.5,22.4647176363579,69,54,61,17,19,-47,-51,-31,-12,-46
2020-04-14,23,25.3315810224699,80,57,35,21,20,-48,-54,-31,-8,-45
2020-04-15,22.5,26.8040433098522,82,60,56,14,20,-48,-52,-30,-3,-42
2020-04-16,22.5,32.2748079305251,107,52,57,12,21,-49,-53,-32,-6,-42
2020-04-17,21.5,43.441291063152,84,51,65,16,22,-46,-53,-31,-9,-46
2020-04-18,22.3333333333333,40.6274509878982,85,56,62,19,16,-24,-49,-37,-15,-52
2020-04-19,20.75,43.046721,98,57,80,14,11,-21,-48,-44,-20,-54
2020-04-20,23.5,41.2475133813725,113,54,56,16,19,-46,-54,-35,-20,-49
2020-04-21,22.25,43.1804019989351,93,57,61,16,21,-48,-57,-40,-21,-52
2020-04-22,18,59.7332941637568,84,49,78,20,22,-49,-58,-41,-21,-52
2020-04-23,22.75,38.3694868696104,88,43,64,21,23,-51,-59,-44,-24,-55
2020-04-24,22,36.7204396362425,74,52,69,20,24,-48,-58,-43,-25,-57
2020-04-25,19.5,48.3665918350526,96,46,52,17,18,-28,-53,-45,-23,-58
2020-04-26,18.5,52.3432988876841,86,28,47,8,13,-24,-53,-52,-26,-60
2020-04-27,18.5,52.3432988876841,57,29,57,10,22,-49,-57,-42,-25,-55
2020-04-28,22,26.2729940758496,52,41,48,17,18,-50,-58,-42,-22,-54
2020-04-29,18.3125,50.3512498336287,60,57,50,18,22,-50,-57,-40,-17,-50
2020-04-30,18,46.7808808195377,72,32,48,11,21,-49,-55,-38,-7,-40
2020-05-01,14.5,63.8462709443114,55,26,50,12,28,-63,-64,-42,-16,-54
2020-05-02,16,51.9704967179289,58,35,59,14,18,-31,-53,-41,-16,-53
2020-05-03,19.5,44.805071796934,68,33,55,13,13,-23,-52,-50,-24,-57
2020-05-04,21.25,28.3847499227824,66,40,52,16,21,-49,-57,-40,-21,-51
2020-05-05,22.5,28.7809227891673,61,41,46,13,23,-52,-60,-42,-21,-52
2020-05-06,16.8333333333333,61.5294912147995,58,29,45,13,23,-51,-58,-42,-21,-52
2020-05-07,15.5,72.2348156476821,58,34,47,13,24,-52,-60,-42,-20,-51
2020-05-08,17,60.5243678404076,74,39,56,17,25,-49,-59,-41,-20,-53
2020-05-09,19,55.2903786528921,76,38,59,14,18,-28,-52,-41,-15,-53
2020-05-10,15.5,77.0254286471061,80,25,55,10,11,-14,-52,-49,-21,-54
2020-05-11,16,63.7029701443362,55,22,56,12,22,-49,-57,-43,-25,-53
2020-05-12,18,59.4971715419852,48,40,76,17,23,-50,-59,-39,-21,-51
2020-05-13,21.25,35.4796650715505,75,52,54,19,23,-50,-59,-40,-19,-50
2020-05-14,22.5,30.6220571720404,106,53,74,15,21,-51,-58,-39,-17,-48
2020-05-15,22,33.3963872805656,106,52,66,16,24,-47,-56,-35,-13,-48
2020-05-16,22.5,23.6863306232937,97,48,58,15,17,-25,-49,-38,-11,-50
2020-05-17,21.5,25.2197891975217,89,41,54,12,13,-19,-51,-48,-21,-55
2020-05-18,21.25,39.0893974860042,77,45,60,12,21,-47,-55,-39,-19,-49
2020-05-19,18.1428571428571,55.6225285732721,66,41,71,15,22,-49,-56,-38,-18,-49
2020-05-20,22.5,29.8350318862029,70,57,67,17,22,-49,-56,-37,-16,-49
2020-05-21,22.625,36.9983306142496,99,55,82,24,24,-50,-56,-37,-17,-50
2020-05-22,21,37.3644364276313,109,52,69,20,24,-45,-56,-36,-17,-52
2020-05-23,19.75,46.8671772529168,96,46,64,20,17,-22,-49,-37,-14,-53
2020-05-24,23,31.1558755416151,85,46,62,12,13,-16,-50,-45,-21,-56
2020-05-25,23,24.6867754640213,87,43,78,17,21,-46,-54,-37,-19,-50
2020-05-26,23.5,17.7879605377354,70,51,74,15,22,-47,-57,-37,-19,-50
2020-05-27,22.5,39.5122118974408,83,61,67,15,22,-47,-58,-41,-21,-52
2020-05-28,21,37.904223040455,108,50,55,17,23,-48,-55,-41,-17,-49
2020-05-29,16,59.2702866354825,82,30,40,15,23,-43,-53,-34,-10,-48
2020-05-30,16.5,51.9692536734305,58,30,37,13,16,-17,-45,-35,-6,-47
2020-05-31,17.1666666666667,55.3819424153031,57,25,40,8,12,-10,-47,-46,-15,-52
2020-06-01,16,72.4057243076668,49,38,45,10,19,-42,-50,-34,-11,-44
2020-06-02,19,56.2164222208207,69,36,37,9,21,-44,-53,-34,-12,-45
2020-06-03,19,56.0962876114362,56,21,20,6,21,-44,-53,-35,-13,-46
2020-06-04,19.5,52.5889894019345,37,28,30,8,22,-45,-53,-36,-13,-46
2020-06-05,19.5,51.0079542080395,33,34,38,8,22,-41,-51,-34,-12,-48
2020-06-06,18.5,55.8606315918386,48,30,43,9,16,-16,-45,-37,-11,-50
2020-06-07,20.5,52.8690967115526,46,29,50,7,12,-10,-48,-46,-19,-54
2020-06-08,19.3333333333333,64.0199563101339,48,27,64,11,19,-42,-51,-41,-19,-49
2020-06-09,17.5,65.8875123732789,48,31,65,19,21,-43,-53,-40,-18,-48
2020-06-10,19.75,51.0079542080395,59,39,42,15,20,-43,-52,-36,-13,-45
2020-06-11,19,51.0045906874913,62,25,33,7,21,-44,-52,-37,-13,-45
2020-06-12,17,57.5686044923775,41,20,32,7,21,-39,-50,-33,-9,-45
2020-06-13,21.5,30.0981637291884,25,29,41,7,15,-12,-43,-33,-6,-46
2020-06-14,18,48.7884130535361,44,31,52,8,11,-5,-44,-41,-14,-49
2020-06-15,17,48.5300220452928,61,41,55,10,18,-39,-48,-32,-8,-40
2020-06-16,17.5,50.2535357467493,75,41,58,12,19,-41,-49,-31,-6,-40
2020-06-17,19.5,49.1711653840633,62,46,52,11,19,-41,-49,-32,-8,-41
2020-06-18,20.5,47.8179959560676,80,39,43,13,20,-42,-51,-33,-9,-42
2020-06-19,20,49.1711653840633,58,43,43,11,19,-38,-48,-31,-8,-44
2020-06-20,20,51.3228999115604,53,39,38,10,14,-10,-40,-32,-4,-45
2020-06-21,19,61.9887202640624,67,34,49,10,9,4,-44,-42,-12,-48
2020-06-22,19,64.0199563101339,65,34,39,15,19,-43,-48,-38,-17,-46
2020-06-23,18,63.9522809928517,71,26,12,19,19,-42,-50,-36,-15,-45
2020-06-24,15.5,74.7889209094549,53,26,43,13,20,-41,-50,-36,-12,-43
2020-06-25,15.875,74.8733400557101,58,17,23,10,20,-42,-51,-38,-12,-43
2020-06-26,15.8333333333333,77.5132117872352,35,27,39,12,20,-38,-48,-33,-9,-44
2020-06-27,19.5,61.0302721563652,55,42,62,13,14,-12,-41,-32,-6,-45
2020-06-28,20,46.308227193935,69,50,45,12,10,-2,-43,-39,-13,-48
2020-06-29,20,56.0962876114362,75,41,44,14,17,-39,-46,-35,-11,-40
2020-06-30,18.5,66.1453532903575,62,34,49,19,17,-39,-46,-32,0,-34
2020-07-01,20.25,56.4449660927371,71,27,41,12,17,-40,-45,-32,-2,-34
2020-07-02,19.8333333333333,56.212909874135,53,40,50,12,18,-40,-46,-32,-3,-35
2020-07-03,19,52.3432988876841,65,32,37,9,18,-36,-44,-30,-4,-39
2020-07-04,17,63.5006985386173,53,NaN,52,11,13,-10,-38,-33,-5,-43
2020-07-05,18,68.1499349749098,NaN,NaN,51,13,10,-3,-39,-40,-12,-45
2020-07-06,16.5,79.0503839511129,NaN,NaN,44,17,16,-39,-43,-34,-11,-37
2020-07-07,18,63.917036135318,NaN,NaN,33,13,17,-40,-46,-32,-9,-35
2020-07-08,18,59.9436531996476,NaN,14,26,10,17,-39,-46,-35,-11,-36
2020-07-09,18,65.9904325480948,25,21,36,16,18,-40,-45,-36,-12,-37
2020-07-10,15,77.0987730791745,47,29,42,17,18,-36,-43,-29,-8,-37
2020-07-11,19,54.1668792543357,48,17,35,8,12,-8,-37,-31,-6,-39
2020-07-12,19,57.9089510588392,36,19,46,8,9,-1,-37,-38,-14,-41
2020-07-13,17,72.4057243076668,42,37,52,14,16,-38,-43,-31,-11,-35
2020-07-14,19.5,54.0981442197524,61,41,54,16,16,-39,-45,-32,-8,-32
2020-07-15,19,71.5135998931368,64,35,56,15,16,-38,-43,-29,-1,-27
2020-07-16,20,54.5248062649874,66,44,47,16,16,-39,-42,-30,-1,-27
2020-07-17,20,56.212909874135,63,47,44,13,17,-35,-40,-29,-4,-33
2020-07-18,17,67.9609087860558,69,34,46,11,11,-7,-32,-28,-3,-35
2020-07-19,18,61.7748049676613,62,44,57,11,8,0,-34,-36,-11,-37
2020-07-20,16.75,64.5112272356644,83,40,56,17,15,-37,-41,-29,-9,-32
2020-07-21,18,61.9887202640624,82,38,47,15,16,-39,-44,-29,-8,-32
2020-07-22,19.8333333333333,58.7030613004122,63,34,57,16,16,-37,-44,-31,-10,-32
2020-07-23,18,65.8875123732789,57,33,56,13,17,-38,-44,-31,-9,-32
2020-07-24,20,56.4964173629284,65,28,58,12,17,-34,-41,-28,-7,-35
2020-07-25,19.25,58.9291035872415,53,36,60,15,11,-8,-33,-28,-7,-37
2020-07-26,18.6666666666667,64.0199563101339,67,17,43,11,8,-1,-35,-34,-13,-38
2020-07-27,19,59.9436531996476,43,25,42,12,15,-37,-40,-30,-13,-34
2020-07-28,19,61.7748049676613,47,21,34,12,16,-38,-44,-31,-10,-32
2020-07-29,18.4,66.590692893021,39,20,31,12,16,-38,-43,-31,-9,-30
2020-07-30,17,72.5745626001773,43,31,47,14,16,-38,-42,-27,-3,-24
2020-07-31,18.3333333333333,70.548015627473,73,25,36,15,16,-35,-40,-30,-4,-28
2020-08-01,16.25,80.0639722989752,50,29,37,17,10,-8,-30,-26,1,-28
2020-08-02,18,68.1499349749098,68,28,41,11,7,0,-31,-30,-6,-30
