date,med_temp,med_hum,pm25,pm10,o3,home,work,transit,parks,grocery,retail
2020-02-15,15,34.8523200060664,43,17,32,-1,3,2,10,4,6
2020-02-16,16,28.7020752643913,31,12,33,-1,2,5,12,3,8
2020-02-17,16.5,25.3100077970102,21,15,31,-2,12,8,8,2,6
2020-02-18,17,29.9453948434967,24,25,29,-2,11,5,8,0,2
2020-02-19,12,47.8729151284837,35,27,26,-2,12,6,3,-1,-1
2020-02-20,11,54.0123131397789,38,33,23,-2,9,8,2,-1,-1
2020-02-21,5,60.7913238329765,40,16,21,-1,10,2,-1,-1,-3
2020-02-22,9.5,57.6103934880834,30,23,29,-1,5,3,10,1,2
2020-02-23,16,41.8289604671705,37,23,35,1,2,-1,-5,-2,2
2020-02-24,13,35.2665642992084,29,11,30,-2,12,5,7,-2,0
2020-02-25,11,18.5284659331932,23,15,34,-2,11,3,4,-2,-2
2020-02-26,6,20.9423187351372,29,17,29,-2,12,4,-1,-1,-4
2020-02-27,8,19.281123658873,32,17,31,-2,10,7,6,2,1
2020-02-28,14,15.6111479423269,23,20,18,-3,12,7,10,8,4
2020-02-29,16,15.3095671846112,30,NaN,NaN,-1,6,5,8,8,6
2020-03-01,18,26.0128577825414,NaN,23,15,0,4,3,5,5,7
2020-03-02,16,29.2588778636041,34,34,6,-2,13,5,5,3,3
2020-03-03,10.5,76.5729066946311,40,13,27,-1,9,5,-8,-3,-4
2020-03-04,8.5,76.3863113145613,25,13,37,-1,11,7,-3,2,0
2020-03-05,11,58.0978616024747,22,21,31,-3,11,10,12,3,4
2020-03-06,15,41.6925133232777,42,19,34,-2,12,7,8,3,1
2020-03-07,16.5,34.7721087736834,22,23,34,-2,6,5,8,2,1
2020-03-08,17,67.9609087860558,29,10,22,0,1,-1,-2,-2,2
2020-03-09,14,62.9671787790499,20,17,27,5,-12,0,1,-6,-6
2020-03-10,18.5,50.4983854568812,28,23,22,-3,11,10,14,3,4
2020-03-11,20,43.3105070669775,31,23,19,-3,13,7,10,3,2
2020-03-12,19,56.0962876114362,28,12,26,-3,10,12,10,6,3
2020-03-13,17,77.3169566342607,20,13,28,-2,5,14,3,11,4
2020-03-14,18,36.9544900249381,24,21,37,-3,4,8,11,11,3
2020-03-15,18,52.7112299353993,33,24,34,-2,2,-4,12,5,2
2020-03-16,21,37.7702896480056,40,24,38,12,-56,-1,10,7,-3
2020-03-17,19,39.9201947121411,34,25,26,-1,6,0,-3,10,-3
2020-03-18,13,67.1821820919712,31,16,23,3,1,-11,-19,4,-14
2020-03-19,12,43.2212799001176,33,10,35,4,-4,-14,-9,5,-14
2020-03-20,14.5,36.1189973872516,26,22,33,6,-7,-20,-12,6,-18
2020-03-21,14,41.4161016821763,31,18,34,7,-6,-25,-25,-3,-28
2020-03-22,20,21.0631539992218,27,18,41,7,-9,-35,-29,-11,-34
2020-03-23,21,17.0093114401469,30,29,42,10,-23,-35,-26,-11,-26
2020-03-24,21.5,14.9087906306332,33,16,39,11,-27,-35,-27,-6,-31
2020-03-25,21.5,17.7921319316917,24,16,38,13,-30,-43,-36,-12,-39
2020-03-26,26,15.6705751370508,24,28,27,15,-34,-47,-35,-13,-42
2020-03-27,22,27.0659917717837,31,82,38,17,-33,-50,-42,-15,-46
2020-03-28,13.5,22.304094062573,53,16,38,13,-22,-48,-43,-14,-48
2020-03-29,16,17.2728094561559,31,20,38,13,-25,-55,-50,-24,-54
2020-03-30,19,14.7242827972951,36,16,42,15,-37,-49,-36,-18,-39
2020-03-31,19.5,14.8334975194652,32,23,46,16,-39,-47,-33,-14,-38
2020-04-01,24.5,15.1022636444779,38,21,40,16,-40,-49,-37,-12,-41
2020-04-02,24,14.4593603042054,33,17,37,18,-43,-52,-36,-9,-48
