date,med_temp,med_hum,pm25,pm10,o3,so2,home,work,transit,parks,grocery,retail
2020-02-15,19,45.5559201415827,57,56,79,23,0,4,-3,6,6,0
2020-02-16,21,40.4574882704232,67,64,91,19,0,2,-2,4,6,0
2020-02-17,23,35.2405807751727,80,56,61,21,-3,16,5,1,2,-4
2020-02-18,21,28.2512072965996,60,65,80,23,-1,9,2,-2,-2,-2
2020-02-19,22,26.2781424655943,75,62,65,19,-1,8,2,-1,0,-6
2020-02-20,21,37.7702896480056,73,60,78,20,-1,7,1,2,-2,-4
2020-02-21,21,38.3040168551841,72,53,47,16,-1,11,2,-6,-1,-6
2020-02-22,18,48.7884130535361,44,49,73,19,0,5,-5,0,1,-5
2020-02-23,20,37.5004003623772,51,62,71,18,0,2,-5,0,2,-6
2020-02-24,21,35.2405807751727,76,44,53,16,-3,16,3,-1,-1,-7
2020-02-25,20,32.0430683750837,47,55,47,17,-1,9,0,2,-3,-7
2020-02-26,19.5,29.4227202311706,53,59,64,19,-1,9,0,12,0,-7
2020-02-27,12,53.8841726305271,61,44,61,18,-1,7,1,-2,0,-3
2020-02-28,17,40.8086151756326,49,62,73,28,-2,11,3,-3,5,-3
2020-02-29,19,32.0430683750837,66,54,78,19,0,6,-3,3,10,0
2020-03-01,21,40.1899157109373,59,NaN,NaN,NaN,0,4,-1,3,9,-1
2020-03-02,21,34.9697068975195,NaN,NaN,NaN,NaN,-3,17,3,-1,4,-5
2020-03-03,22,26.8047120603421,NaN,67,49,17,-1,9,-1,-2,1,-4
2020-03-04,20,32.5897275224287,58,42,46,16,-1,9,1,0,3,-4
2020-03-05,19.5,32.5176639068821,45,63,53,22,-1,5,0,0,2,0
2020-03-06,18,48.7884130535361,66,51,44,16,-1,9,2,-7,0,-6
2020-03-07,15,48.0058414974927,41,49,79,17,0,6,-5,3,4,-4
2020-03-08,20,39.6483053868861,55,54,65,25,0,4,-6,7,4,-1
2020-03-09,21,40.4574882704232,65,53,76,19,5,-7,-10,-8,-7,-13
2020-03-10,23,38.3040168551841,63,51,82,17,-1,9,1,-2,-1,-7
2020-03-11,24,34.1872607423445,52,54,84,20,-1,8,0,-2,0,-7
