date,med_temp,med_hum,pm25,home,work,transit,parks,grocery,retail
2020-02-15,23,64.8208674490189,30,-1,4,0,8,6,7
2020-02-16,24,83.488709454081,27,-1,3,7,10,5,8
2020-02-17,24,83.2822453885922,24,-2,9,3,5,3,3
2020-02-18,26,78.7974034623456,52,-2,8,-1,3,-1,-1
2020-02-19,19,93.8857273569508,49,-1,7,-4,-5,-2,0
2020-02-20,13,100,42,0,6,-1,-15,-3,-5
2020-02-21,10,81.6791296449009,16,0,10,-4,-7,-2,-2
2020-02-22,19,68.3367759317678,23,0,4,-3,14,1,0
2020-02-23,23,77.4599805387187,26,0,4,0,11,1,3
2020-02-24,25,78.5426985712009,23,-2,10,-2,4,0,-1
2020-02-25,23,88.6329999588749,41,-2,9,-3,2,-2,-3
2020-02-26,16.5,23.8902257543927,46,0,5,-6,-12,-6,-5
2020-02-27,15,31.4892258932429,16,0,6,-3,-4,1,1
2020-02-28,21,35.2405807751727,26,-3,13,2,9,11,9
2020-02-29,22,53.430485309461,34,-1,6,2,7,10,8
2020-03-01,25,65.2083488408211,NaN,-1,5,6,12,10,10
2020-03-02,25,78.1490222027596,NaN,-3,11,-1,5,7,5
2020-03-03,24,88.7051330177307,NaN,-2,8,-1,4,4,3
2020-03-04,24,69.0630153592452,62,-2,8,1,8,4,5
2020-03-05,21,47.9436000100807,44,-2,8,1,3,4,4
2020-03-06,22,40.7229322281032,15,-3,14,0,8,3,3
2020-03-07,21,56.7889256146817,41,-1,6,3,9,4,4
2020-03-08,23.5,62.4920960083208,33,-1,4,-1,15,3,5
2020-03-09,24,69.4139480825351,17,3,-10,-2,1,-2,-3
2020-03-10,23,88.5599408351937,31,-2,8,1,0,1,-1
2020-03-11,26.5,67.5780374306457,42,-2,8,1,7,1,1
2020-03-12,24,83.2822453885922,37,-3,7,3,10,8,4
2020-03-13,26,78.6708073334324,36,-3,6,8,14,14,7
2020-03-14,26,76.3387858025467,46,-3,3,8,11,14,6
2020-03-15,26,78.5426985712009,53,-2,2,-4,11,10,2
2020-03-16,26,78.7974034623456,43,10,-51,-2,-5,14,-3
2020-03-17,27,74.3051217699424,39,4,-15,-2,-17,8,-9
2020-03-18,27,74.006764271661,41,7,-19,-10,-17,2,-14
2020-03-19,28,74.1567967710387,53,8,-22,-18,-27,-1,-20
2020-03-20,27,83.5900463485691,59,9,-18,-26,-25,-2,-24
2020-03-21,24,83.4880816420927,53,8,-9,-30,-42,-6,-34
2020-03-22,27,71.9458030804184,43,8,-12,-39,-51,-16,-41
2020-03-23,27.5,69.9463316623717,43,10,-27,-35,-39,-13,-30
2020-03-24,29.5,62.1385341572519,55,12,-31,-38,-39,-15,-34
2020-03-25,29,65.9587026542225,55,14,-34,-40,-42,-18,-35
2020-03-26,30.5,56.887792890561,51,14,-36,-42,-41,-16,-34
