date,med_temp,med_hum,pm25,o3,home,work,transit,parks,grocery,retail
2020-02-15,25.5,87.8556991721971,105,13,-2,5,-2,5,7,5
2020-02-16,25.75,78.6067529523167,70,15,-1,1,-2,-1,4,2
2020-02-17,25.825,76.2099071721778,61,13,-3,10,8,2,6,2
2020-02-18,26,69.8676002355409,66,11,-2,10,2,5,4,-1
2020-02-19,28,72.2485239094511,58,12,-2,10,4,7,3,0
2020-02-20,26.8,81.1430564582133,71,14,-2,10,5,4,3,1
2020-02-21,25.575,82.4294785129609,83,11,-2,11,12,-2,2,-4
2020-02-22,23,78.1728051436814,52,19,-1,4,5,1,3,-2
2020-02-23,21,65.9150763225696,33,20,0,0,3,6,-1,-2
2020-02-24,23.6,78.3474420805214,41,15,2,-16,3,10,1,2
2020-02-25,27.85,64.345943989375,56,16,6,-32,4,14,0,-1
2020-02-26,25,74.0800583472071,49,19,-1,8,7,-11,-2,-7
2020-02-27,21,73.2971115722576,67,19,1,9,-1,-9,2,-3
2020-02-28,21,63.5496558343772,47,20,-2,12,3,-4,8,-1
2020-02-29,19,60.8212979562278,56,21,0,7,-5,-7,9,3
2020-03-01,20.675,53.5482179212964,37,21,1,3,-5,-8,7,1
2020-03-02,25,57.9852363518516,35,17,-3,12,2,0,8,2
2020-03-03,27.825,69.8040284725531,57,11,-1,7,-2,2,6,0
2020-03-04,29.975,63.0452384611042,50,10,-2,10,-1,2,6,1
2020-03-05,28.5,67.9098556940694,56,18,-1,11,-2,-3,4,1
2020-03-06,24,69.0630153592452,65,21,-2,13,2,-2,4,-4
2020-03-07,23,64.6239352534018,37,22,0,7,-4,-2,5,0
2020-03-08,22.7,63.1347058548096,36,22,1,4,-11,-5,3,0
2020-03-09,24.15,57.1271131427159,46,20,7,-18,-7,-12,-6,-12
2020-03-10,24.1,64.9182640786198,49,20,-2,11,0,-1,5,-2
2020-03-11,25.825,67.6695779092486,68,19,-2,10,4,-1,4,0
2020-03-12,24.075,76.0572543935268,53,18,-1,10,0,0,4,1
2020-03-13,27.8,63.4000563975273,50,18,-2,9,8,-1,12,-1
2020-03-14,29.3,57.8975761422822,53,15,-1,5,2,-4,17,-1
2020-03-15,27,70.7110474352956,52,14,2,1,-15,-14,6,-12
