date,med_temp,med_hum,pm25,pm10,o3,no2,home,work,transit,parks,grocery,retail
2020-02-15,17.5,29.8702165949212,43,45,44,17,-1,3,8,8,4,7
2020-02-16,18,36.9544900249381,56,49,46,15,-1,1,5,10,5,11
2020-02-17,18.5,34.4978645260307,64,53,43,18,-2,9,3,7,5,7
2020-02-18,20,30.0817109163462,52,56,39,20,-2,10,3,9,1,0
2020-02-19,20.5,15.7544536779769,51,52,24,21,-2,8,1,2,0,1
2020-02-20,21,21.8647227810253,47,38,37,12,-2,8,-1,3,0,0
2020-02-21,20,21.0631539992218,35,53,34,13,-3,10,3,11,4,3
2020-02-22,20,30.6220571720404,28,41,35,5,2,1,-2,2,-3,-2
2020-02-23,16,45.0227070607385,25,16,36,6,0,2,0,10,2,4
2020-02-24,18,52.2198489068985,17,40,37,14,-2,12,-2,6,1,-1
2020-02-25,22,22.8788079294887,44,28,33,8,-2,10,-2,20,1,-1
2020-02-26,17,8.88788482850531,21,33,34,13,-2,9,-1,3,0,0
2020-02-27,16,13.4891379427825,32,38,35,14,-2,9,0,3,2,2
2020-02-28,19,20.8119672148564,24,43,33,15,-3,11,6,10,8,6
2020-02-29,20,27.9109682765943,32,54,38,12,-2,5,6,8,7,5
2020-03-01,20.5,23.419965438141,58,34,36,1,1,2,-4,-10,3,3
2020-03-02,16,41.9689249643792,19,14,32,4,0,9,-10,-10,0,-2
2020-03-03,16,36.9544900249381,8,35,36,15,-3,12,-3,9,7,5
2020-03-04,17,64.0199563101339,32,34,31,11,-2,11,-3,5,6,4
2020-03-05,19.5,58.1298060895295,29,38,38,12,-3,10,-3,7,5,4
2020-03-06,22,29.3106382817349,38,32,38,11,-3,9,4,12,6,3
2020-03-07,21,33.3963872805656,22,24,40,5,-1,5,-1,7,4,2
2020-03-08,19.5,33.6434994613374,22,10,34,1,0,4,-2,6,3,6
2020-03-09,18.5,44.9550577659393,8,30,25,8,4,-9,-6,-7,-2,-7
2020-03-10,15,82.4022182688579,28,5,25,2,6,-6,-8,-31,-9,-13
2020-03-11,14,95.8379604108206,15,16,25,7,-1,9,0,-5,5,2
2020-03-12,18,88.1011015877247,29,8,26,4,2,4,-3,-22,3,-3
2020-03-13,15,72.4057243076668,29,12,30,6,1,5,2,-12,8,1
