date,med_temp,med_hum,pm25,o3,no2,home,work,transit,parks,grocery,retail
2020-02-15,14.125,74.3178519495765,85,NaN,NaN,-1,4,6,6,6,6
2020-02-16,18.5,47.1744162837804,NaN,NaN,NaN,-1,2,6,4,6,7
2020-02-17,19.3333333333333,28.1587727683755,NaN,30,35,-3,11,8,1,1,1
2020-02-18,20.25,22.9454271398038,73,65,32,-2,10,5,3,1,1
2020-02-19,20.5,15.5999214653259,92,58,26,-2,9,6,2,0,1
2020-02-20,18.1666666666667,45.6999406680437,95,46,18,-2,9,3,1,0,1
2020-02-21,15,55.1388363302077,96,50,18,-2,13,5,4,-1,0
2020-02-22,13.75,55.8135277333367,62,70,18,0,4,3,4,0,-2
2020-02-23,18.5,41.4604530469226,70,75,26,-1,2,5,1,0,-2
2020-02-24,20.5,32.860382942065,85,44,25,-2,11,6,2,-3,-4
2020-02-25,20.5,36.5049761783664,84,33,19,-2,10,0,3,-2,-3
2020-02-26,18,33.7797172099741,62,49,18,-2,9,0,12,1,-1
2020-02-27,11.5,56.124755951647,70,41,16,-2,9,4,2,1,2
2020-02-28,17,39.2360849167604,75,69,23,-3,13,9,6,6,7
2020-02-29,16,36.6208152323582,77,54,23,-1,5,4,5,9,5
2020-03-01,18.5,35.8257040745678,77,65,22,-1,3,5,3,8,6
2020-03-02,21,40.1899157109373,87,23,31,-1,5,3,0,4,2
2020-03-03,21,34.0494867735025,88,32,14,-2,10,2,4,4,3
2020-03-04,20,34.9697068975195,57,35,19,-2,10,3,5,4,2
2020-03-05,20,34.6969181241975,63,57,23,-2,11,5,4,4,3
2020-03-06,13,62.7938592578904,83,44,17,-2,13,4,3,1,0
2020-03-07,12,60.4403473624862,84,53,19,0,6,3,6,4,0
2020-03-08,16.5,39.5302031116455,95,68,18,0,5,3,5,4,4
2020-03-09,17.5,36.1670716625754,83,57,20,7,-17,-16,-6,-5,-8
2020-03-10,19.25,42.6063113858379,81,73,18,-2,11,4,2,2,0
2020-03-11,19.25,41.3504440724669,85,43,21,-2,10,2,3,2,0
2020-03-12,20.5,28.3847499227824,73,65,28,-2,10,2,3,3,2
2020-03-13,23.75,27.1946219856092,95,54,24,-1,3,7,2,5,6
2020-03-14,24,27.3259321645965,75,62,20,-1,4,5,1,8,2
2020-03-15,20,37.4718603679702,78,48,17,-2,2,-3,2,4,0
2020-03-16,18.25,54.6496149928487,75,40,15,14,-56,-35,-7,5,-3
2020-03-17,16,53.5503004276328,70,48,26,1,3,-8,-4,6,-1
2020-03-18,17.875,58.2189073761628,76,NaN,NaN,4,-3,-16,-8,3,-5
2020-03-19,19,45.8189594841214,NaN,5,38,5,-7,-19,-9,3,-6
2020-03-20,20,43.2222426857438,34,48,17,8,-12,-22,-12,0,-12
2020-03-21,19,54.1636902301541,81,55,17,7,-3,-24,-21,-2,-19
2020-03-22,17.75,63.8276888033255,77,58,15,5,-4,-27,-27,-6,-22
2020-03-23,20,21.8696902980112,65,63,21,11,-27,-34,-21,-8,-20
2020-03-24,20,32.7372741198303,68,64,24,13,-32,-39,-24,-7,-25
2020-03-25,22.5,18.5942494086369,97,73,22,15,-35,-41,-26,-10,-28
2020-03-26,23.25,25.3315810224699,83,58,20,16,-36,-43,-27,-12,-30
2020-03-27,23,17.3565998598397,103,38,21,17,-34,-44,-24,-10,-30
2020-03-28,21.75,28.7809227891673,99,57,16,12,-14,-39,-27,-7,-32
2020-03-29,21,34.5100943780692,94,74,12,9,-16,-41,-36,-12,-36
2020-03-30,19.5,52.6971195255097,104,75,16,15,-38,-45,-26,-12,-27
2020-03-31,22,24.711519163299,106,47,16,16,-40,-47,-27,-8,-26
2020-04-01,19,44.1683067871877,89,71,15,17,-43,-49,-29,-8,-28
2020-04-02,20.75,43.2685727569818,94,70,15,19,-45,-49,-32,-6,-38
2020-04-03,18.3333333333333,50.0875628171476,102,57,15,20,-42,-46,-29,-2,-48
2020-04-04,16,59.2702866354825,85,61,17,14,-23,-39,-30,0,-50
2020-04-05,21.5,39.9610770508024,80,51,13,11,-22,-42,-38,-8,-54
2020-04-06,20,49.2979514395833,75,40,16,18,-48,-49,-27,-6,-46
2020-04-07,21,37.7702896480056,105,57,18,19,-50,-52,-27,-6,-44
2020-04-08,22,37.7702896480056,72,56,19,19,-51,-50,-27,-3,-42
2020-04-09,20.5,43.046721,87,75,18,23,-63,-57,-29,-2,-48
2020-04-10,21.5,36.9354454655761,85,68,15,29,-73,-67,-40,-20,-63
2020-04-11,23.5,22.0591792960911,102,45,15,18,-46,-58,-41,-19,-60
2020-04-12,21.75,22.3165804630948,104,38,9,11,-27,-48,-47,-21,-58
2020-04-13,21.5,22.4647176363579,88,55,15,19,-47,-51,-31,-12,-46
2020-04-14,23,25.3315810224699,99,43,16,20,-48,-54,-31,-8,-45
2020-04-15,22.5,26.8040433098522,105,53,13,20,-48,-52,-30,-3,-42
2020-04-16,22.5,32.2748079305251,123,58,13,21,-49,-53,-32,-6,-42
2020-04-17,21.5,43.441291063152,119,72,16,22,-46,-53,-31,-9,-46
2020-04-18,22.3333333333333,40.6274509878982,109,71,19,16,-24,-49,-37,-15,-52
2020-04-19,20.75,43.046721,107,66,12,11,-21,-48,-44,-20,-54
2020-04-20,23.5,41.2475133813725,122,67,15,19,-46,-54,-35,-20,-49
2020-04-21,22.25,43.1804019989351,106,72,18,21,-48,-57,-40,-21,-52
2020-04-22,18,59.7332941637568,121,79,16,22,-49,-58,-41,-21,-52
2020-04-23,22.75,38.3694868696104,90,61,18,23,-51,-59,-44,-24,-55
2020-04-24,22,36.7204396362425,78,66,22,24,-48,-58,-43,-25,-57
2020-04-25,19.5,48.3665918350526,109,50,17,18,-28,-53,-45,-23,-58
2020-04-26,18.5,52.3432988876841,91,48,9,13,-24,-53,-52,-26,-60
2020-04-27,18.5,52.3432988876841,65,58,10,22,-49,-57,-42,-25,-55
2020-04-28,22,26.2729940758496,67,54,16,18,-50,-58,-42,-22,-54
2020-04-29,18.3125,50.3512498336287,81,59,19,22,-50,-57,-40,-17,-50
2020-04-30,18,46.7808808195377,73,52,13,21,-49,-55,-38,-7,-40
2020-05-01,14.5,63.8462709443114,53,65,16,28,-63,-64,-42,-16,-54
2020-05-02,16,51.9704967179289,67,67,16,18,-31,-53,-41,-16,-53
2020-05-03,19.5,44.805071796934,70,62,11,13,-23,-52,-50,-24,-57
2020-05-04,21.25,28.3847499227824,62,57,15,21,-49,-57,-40,-21,-51
2020-05-05,22.5,28.7809227891673,58,53,12,23,-52,-60,-42,-21,-52
2020-05-06,16.8333333333333,61.5294912147995,67,52,12,23,-51,-58,-42,-21,-52
2020-05-07,15.5,72.2348156476821,64,48,15,24,-52,-60,-42,-20,-51
2020-05-08,17,60.5243678404076,72,68,19,25,-49,-59,-41,-20,-53
2020-05-09,19,55.2903786528921,78,62,12,18,-28,-52,-41,-15,-53
2020-05-10,15.5,77.0254286471061,76,60,9,11,-14,-52,-49,-21,-54
2020-05-11,16,63.7029701443362,53,64,13,22,-49,-57,-43,-25,-53
2020-05-12,18,59.4971715419852,54,73,21,23,-50,-59,-39,-21,-51
2020-05-13,21.25,35.4796650715505,72,51,19,23,-50,-59,-40,-19,-50
2020-05-14,22.5,30.6220571720404,112,72,17,21,-51,-58,-39,-17,-48
2020-05-15,22,33.3963872805656,136,58,17,24,-47,-56,-35,-13,-48
2020-05-16,22.5,23.6863306232937,102,48,14,17,-25,-49,-38,-11,-50
2020-05-17,21.5,25.2197891975217,101,60,13,13,-19,-51,-48,-21,-55
2020-05-18,21.25,39.0893974860042,80,68,14,21,-47,-55,-39,-19,-49
2020-05-19,18.1428571428571,55.6225285732721,83,71,17,22,-49,-56,-38,-18,-49
2020-05-20,22.5,29.8350318862029,82,81,20,22,-49,-56,-37,-16,-49
2020-05-21,22.625,36.9983306142496,121,74,19,24,-50,-56,-37,-17,-50
2020-05-22,21,37.3644364276313,139,78,18,24,-45,-56,-36,-17,-52
2020-05-23,19.75,46.8671772529168,112,62,20,17,-22,-49,-37,-14,-53
2020-05-24,23,31.1558755416151,98,57,11,13,-16,-50,-45,-21,-56
2020-05-25,23,24.6867754640213,97,63,15,21,-46,-54,-37,-19,-50
2020-05-26,23.5,17.7879605377354,76,64,14,22,-47,-57,-37,-19,-50
2020-05-27,22.5,39.5122118974408,92,75,17,22,-47,-58,-41,-21,-52
2020-05-28,21,37.904223040455,128,64,18,23,-48,-55,-41,-17,-49
2020-05-29,16,59.2702866354825,111,46,14,23,-43,-53,-34,-10,-48
2020-05-30,16.5,51.9692536734305,73,40,9,16,-17,-45,-35,-6,-47
2020-05-31,17.1666666666667,55.3819424153031,58,44,9,12,-10,-47,-46,-15,-52
2020-06-01,16,72.4057243076668,49,51,13,19,-42,-50,-34,-11,-44
2020-06-02,19,56.2164222208207,87,41,8,21,-44,-53,-34,-12,-45
2020-06-03,19,56.0962876114362,71,20,7,21,-44,-53,-35,-13,-46
2020-06-04,19.5,52.5889894019345,28,30,8,22,-45,-53,-36,-13,-46
2020-06-05,19.5,51.0079542080395,35,43,9,22,-41,-51,-34,-12,-48
2020-06-06,18.5,55.8606315918386,52,46,9,16,-16,-45,-37,-11,-50
2020-06-07,20.5,52.8690967115526,61,46,7,12,-10,-48,-46,-19,-54
2020-06-08,19.3333333333333,64.0199563101339,48,54,10,19,-42,-51,-41,-19,-49
2020-06-09,17.5,65.8875123732789,67,58,18,21,-43,-53,-40,-18,-48
2020-06-10,19.75,51.0079542080395,75,42,14,20,-43,-52,-36,-13,-45
2020-06-11,19,51.0045906874913,69,35,7,21,-44,-52,-37,-13,-45
2020-06-12,17,57.5686044923775,54,30,7,21,-39,-50,-33,-9,-45
2020-06-13,21.5,30.0981637291884,32,42,8,15,-12,-43,-33,-6,-46
2020-06-14,18,48.7884130535361,37,56,8,11,-5,-44,-41,-14,-49
2020-06-15,17,48.5300220452928,56,61,11,18,-39,-48,-32,-8,-40
2020-06-16,17.5,50.2535357467493,69,63,10,19,-41,-49,-31,-6,-40
2020-06-17,19.5,49.1711653840633,65,61,10,19,-41,-49,-32,-8,-41
2020-06-18,20.5,47.8179959560676,73,46,9,20,-42,-51,-33,-9,-42
