date,med_temp,med_hum,pm25,o3,home,work,transit,parks,grocery,retail
2020-02-15,21,56.5604000486402,28,29,-1,4,0,8,6,7
2020-02-16,22,64.7202451587191,28,22,-1,3,7,10,5,8
2020-02-17,26,59.6655982236648,23,18,-2,9,3,5,3,3
2020-02-18,26,61.4336203050474,51,20,-2,8,-1,3,-1,-1
2020-02-19,17,77.3169566342607,54,13,-1,7,-4,-5,-2,0
2020-02-20,12,87.8570535899879,30,15,0,6,-1,-15,-3,-5
2020-02-21,9.5,61.9665118676073,9,27,0,10,-4,-7,-2,-2
2020-02-22,14,59.6069699175651,23,30,0,4,-3,14,1,0
2020-02-23,21,63.814115960502,32,27,0,4,0,11,1,3
2020-02-24,24.5,59.233249767476,30,30,-2,10,-2,4,0,-1
2020-02-25,23,73.0690205001984,32,27,-2,9,-3,2,-2,-3
2020-02-26,17,15.376977572607,52,30,0,5,-6,-12,-6,-5
2020-02-27,14,22.3046436723278,16,34,0,6,-3,-4,1,1
2020-02-28,18,30.3527023385798,22,28,-3,13,2,9,11,9
2020-02-29,22,41.5066899184306,47,NaN,-1,6,2,7,10,8
2020-03-01,25,56.7843079605097,NaN,NaN,-1,5,6,12,10,10
2020-03-02,26,59.458313648967,NaN,NaN,-3,11,-1,5,7,5
2020-03-03,25,73.7014587143591,NaN,25,-2,8,-1,4,4,3
2020-03-04,24,73.8549949244717,68,34,-2,8,1,8,4,5
2020-03-05,21,30.8897799419124,46,32,-2,8,1,3,4,4
2020-03-06,23,26.2509132015264,16,41,-3,14,0,8,3,3
2020-03-07,21.5,46.5941359342103,35,39,-1,6,3,9,4,4
2020-03-08,23,51.7375438407396,33,31,-1,4,-1,15,3,5
2020-03-09,23,61.1232334532092,27,25,3,-10,-2,1,-2,-3
2020-03-10,23,78.1490222027596,29,22,-2,8,1,0,1,-1
2020-03-11,26,54.1291213118307,47,25,-2,8,1,7,1,1
2020-03-12,24,65.1120047745209,38,21,-3,7,3,10,8,4
2020-03-13,28,58.1127343408528,40,22,-3,6,8,14,14,7
2020-03-14,26.5,59.000060933142,62,23,-3,3,8,11,14,6
2020-03-15,26,61.4336203050474,50,22,-2,2,-4,11,10,2
2020-03-16,26,61.637697104138,50,18,10,-51,-2,-5,14,-3
2020-03-17,26.5,59.5624959465244,38,19,4,-15,-2,-17,8,-9
2020-03-18,26,65.2083488408211,42,19,7,-19,-10,-17,2,-14
2020-03-19,26.5,61.6339052554056,48,22,8,-22,-18,-27,-1,-20
2020-03-20,25,73.8549949244717,58,18,9,-18,-26,-25,-2,-24
2020-03-21,18,88.0210310145527,52,9,8,-9,-30,-42,-6,-34
2020-03-22,20,77.8784936168726,19,21,8,-12,-39,-51,-16,-41
2020-03-23,27,61.839677824498,32,21,10,-27,-35,-39,-13,-30
