date,med_temp,med_hum,pm25,pm10,o3,no2,home,work,transit,parks,grocery,retail
2020-02-15,8.9,83.5386672492161,85,53,48,26,-1,4,6,6,6,6
2020-02-16,16.05,51.992507368048,99,40,35,21,-1,2,6,4,6,7
2020-02-17,14.5,50.1416226790831,74,47,36,25,-3,11,8,1,1,1
2020-02-18,18,38.9392244624388,73,51,46,29,-2,10,5,3,1,1
2020-02-19,10.3,45.3947862589213,82,61,54,29,-2,9,6,2,0,1
2020-02-20,9.6,61.9307308152113,92,56,42,24,-2,9,3,1,0,1
2020-02-21,13.1,41.7624825961738,91,51,37,16,-2,13,5,4,-1,0
2020-02-22,12.05,58.5493107146004,76,47,53,20,0,4,3,4,0,-2
2020-02-23,12.4,64.5533952901457,77,47,52,19,-1,2,5,1,0,-2
2020-02-24,13.1,61.9394421420184,80,57,37,19,-2,11,6,2,-3,-4
2020-02-25,13.5,52.533389020318,81,46,31,19,-2,10,0,3,-2,-3
2020-02-26,12,33.2263998445789,78,50,31,17,-2,9,0,12,1,-1
2020-02-27,11.25,65.1825475538778,74,49,35,17,-2,9,4,2,1,2
2020-02-28,12.5,63.50684232533,72,56,52,28,-3,13,9,6,6,7
2020-02-29,21,37.7702896480056,91,54,42,26,-1,5,4,5,9,5
2020-03-01,22,32.2169863871034,87,46,40,23,-1,3,5,3,8,6
2020-03-02,14.1,62.5619279015418,82,48,21,25,-1,5,3,0,4,2
2020-03-03,17.15,45.0606000678026,83,50,31,19,-2,10,2,4,4,3
2020-03-04,19,29.8657820993822,71,50,34,23,-2,10,3,5,4,2
2020-03-05,22.4,20.7079686077503,80,57,40,25,-2,11,5,4,4,3
2020-03-06,17.65,40.7988666843038,84,61,60,27,-2,13,4,3,1,0
2020-03-07,16.3,47.7398904820538,99,59,47,26,0,6,3,6,4,0
2020-03-08,16.55,42.93884856402,105,54,52,21,0,5,3,5,4,4
2020-03-09,10.35,77.075275542933,94,49,38,20,7,-17,-16,-6,-5,-8
2020-03-10,13.3,56.2613736406487,82,51,51,26,-2,11,4,2,2,0
2020-03-11,13.85,71.2115094506981,91,51,42,26,-2,10,2,3,2,0
2020-03-12,12.6,58.4800888626454,86,53,50,28,-2,10,2,3,3,2
2020-03-13,15,67.5761485295562,90,47,44,27,-1,3,7,2,5,6
2020-03-14,15.3,60.7353301910213,85,43,46,19,-1,4,5,1,8,2
2020-03-15,14.05,59.2769122310849,77,35,46,14,-2,2,-3,2,4,0
2020-03-16,14.65,59.1499322064421,70,42,41,19,14,-56,-35,-7,5,-3
2020-03-17,11.45,75.2940997666718,82,39,37,27,1,3,-8,-4,6,-1
2020-03-18,14.3,62.1814913521916,81,NaN,NaN,NaN,4,-3,-16,-8,3,-5
2020-03-19,12.2,84.1251428795984,NaN,21,14,23,5,-7,-19,-9,3,-6
2020-03-20,13.6,62.0273122967518,68,42,47,19,8,-12,-22,-12,0,-12
2020-03-21,19.95,39.8960832881248,75,47,48,15,7,-3,-24,-21,-2,-19
2020-03-22,24.9,21.493789614273,85,43,49,16,5,-4,-27,-27,-6,-22
2020-03-23,15.3,56.7734653584771,84,46,53,19,11,-27,-34,-21,-8,-20
2020-03-24,14.85,57.613573091427,78,43,47,18,13,-32,-39,-24,-7,-25
2020-03-25,16.7,43.974716284729,72,50,66,20,15,-35,-41,-26,-10,-28
2020-03-26,15.8,40.0032799954819,74,53,37,19,16,-36,-43,-27,-12,-30
2020-03-27,13.65,36.137857443676,74,47,31,17,17,-34,-44,-24,-10,-30
2020-03-28,22.8,17.4260054071368,74,49,50,18,12,-14,-39,-27,-7,-32
2020-03-29,19.25,34.2382207639968,78,50,53,13,9,-16,-41,-36,-12,-36
2020-03-30,21.7,18.2409708826769,84,53,68,16,15,-38,-45,-26,-12,-27
2020-03-31,24,28.448376332229,90,52,59,14,16,-40,-47,-27,-8,-26
2020-04-01,17.2,44.4099368010269,85,51,53,18,17,-43,-49,-29,-8,-28
2020-04-02,15.4,60.3928275588501,83,45,49,18,19,-45,-49,-32,-6,-38
2020-04-03,11,80.2874874763854,83,44,45,18,20,-42,-46,-29,-2,-48
2020-04-04,12.3,72.8175721111438,82,38,58,16,14,-23,-39,-30,0,-50
2020-04-05,15.1,50.6070253041228,75,39,46,13,11,-22,-42,-38,-8,-54
2020-04-06,14.6,49.4422751730073,76,42,44,15,18,-48,-49,-27,-6,-46
2020-04-07,14.5,39.3742278089762,73,43,42,16,19,-50,-52,-27,-6,-44
2020-04-08,15.2,44.3156999469984,73,43,45,17,19,-51,-50,-27,-3,-42
2020-04-11,21,27.7152501893542,72,45,40,11,18,-46,-58,-41,-19,-60
2020-04-12,18.2,24.2261102642052,78,42,35,10,11,-27,-48,-47,-21,-58
2020-04-13,20.1,24.995951259525,75,45,42,16,19,-47,-51,-31,-12,-46
2020-04-14,20.1,29.1136929046996,80,52,36,13,20,-48,-54,-31,-8,-45
2020-04-15,16.85,36.3790265587322,82,45,40,16,20,-48,-52,-30,-3,-42
2020-04-16,19.7,34.7451962632402,76,54,45,17,21,-49,-53,-32,-6,-42
2020-04-17,16.75,43.9094469957702,95,53,50,15,22,-46,-53,-31,-9,-46
