date,med_temp,med_hum,pm25,pm10,no2,home,work,transit,parks,grocery,retail
2020-02-15,22.3,65.8653291157976,46,24,1,-1,4,5,11,6,5
2020-02-16,23.65,78.1486494077315,41,26,NaN,-1,2,13,7,6,8
2020-02-17,24.8,85.8292664792542,57,30,NaN,-3,18,8,1,3,1
2020-02-18,26.2,76.965627735036,64,33,NaN,-2,13,3,2,-1,-2
2020-02-19,25.2,84.0628077636807,71,29,NaN,-2,13,4,5,0,0
2020-02-20,25.45,86.0981081866729,63,30,NaN,-2,12,7,4,-1,-1
2020-02-21,22,75.966576050345,65,47,NaN,-1,10,14,-13,-4,-7
2020-02-22,21.45,73.6990957110732,12,13,NaN,1,1,8,8,0,-3
2020-02-23,22.8,74.4423134475141,29,18,NaN,-1,0,14,20,2,6
2020-02-24,23.15,84.5422894481796,50,33,NaN,0,-3,9,12,-2,-1
2020-02-25,24.95,81.5464228467419,63,39,NaN,0,-5,10,5,-3,-5
2020-02-26,24.4,80.7652091453209,82,31,1,5,-12,-7,-22,-16,-19
2020-02-27,19.2,56.2366378159551,54,36,1,-1,11,-1,-8,-3,-6
2020-02-28,20.3,66.977374550694,39,28,1,-1,14,1,-6,5,-2
2020-02-29,20.8,78.9776476122584,39,24,2,0,6,-1,4,9,3
2020-03-01,22.65,76.5713713824916,53,19,NaN,0,4,8,8,10,7
2020-03-02,25.75,74.5554032094241,43,32,NaN,-3,20,3,2,5,1
2020-03-03,24.6,87.3738167185451,62,52,NaN,-2,14,4,1,2,-1
2020-03-04,26.85,78.0392832392326,117,43,NaN,-3,15,2,3,3,1
2020-03-05,27,59.2497715662219,95,29,1,-1,14,3,-2,1,-2
2020-03-06,22.8,62.9694246661548,39,25,1,-2,16,3,-5,1,-5
2020-03-07,22.85,66.9050304505455,37,28,1,0,6,0,0,1,-3
2020-03-08,22.7,80.5143363336264,51,20,NaN,1,3,-1,-1,1,1
2020-03-09,22.7,81.6168286946601,46,22,NaN,3,-3,1,-7,-5,-9
2020-03-10,25.2,75.7285016903635,34,30,NaN,-2,14,4,-2,0,-4
2020-03-11,25.2,78.1410528407257,50,30,NaN,-2,14,-1,2,-2,-3
2020-03-12,24,82.3700000127667,54,32,NaN,-3,15,9,5,0,-1
2020-03-13,25.6,78.6197468480389,54,42,NaN,-2,9,13,9,7,3
2020-03-14,26.6,82.6487675419231,85,38,NaN,-3,6,19,32,15,8
2020-03-15,26.6,81.1662071199939,77,25,NaN,-1,2,-3,23,13,10
2020-03-16,25.8,81.5685994854622,53,24,NaN,8,-41,18,2,8,0
2020-03-17,25.9,82.132941778027,53,23,NaN,0,4,14,-5,9,-4
2020-03-18,25.7,87.9098340348148,45,NaN,NaN,2,-3,-3,-7,4,-8
2020-03-19,26.2,86.5437785479228,NaN,38,NaN,3,-2,-5,-7,2,-13
2020-03-20,27.75,81.3149339886794,72,46,NaN,5,-4,-15,-16,-2,-19
2020-03-21,26.6,86.9902853797041,103,33,NaN,6,-3,-19,-20,-4,-26
2020-03-22,30.6,53.6991981403529,65,23,NaN,7,-8,-27,-31,-12,-32
2020-03-23,26.8,77.8232955429514,45,30,NaN,9,-21,-26,-26,-12,-26
2020-03-24,27.25,82.4884138362143,58,34,NaN,10,-29,-27,-29,-15,-31
2020-03-25,27.2,85.7380336284917,71,39,1,11,-30,-32,-30,-18,-33
