date,med_temp,med_hum
2020-01-01,8,33.80061599807782
2020-01-02,7.25,70.4999868245435
2020-01-03,4.5,52.42706141334352
2020-01-04,7,44.00954793834181
2020-01-05,8.5,42.934588890354846
2020-01-06,10.5,37.62784646503522
2020-01-07,9.5,19.168893807621494
2020-01-08,10,25.77988545232531
2020-01-09,13.5,27.378069403550157
2020-01-10,8,49.61020980666892
2020-01-11,7,28.610465712653582
2020-01-12,9,27.349840716862644
2020-01-13,10,27.281099997887733
2020-01-14,13.5,18.6721728597716
2020-01-15,15,20.180227468922904
2020-01-16,11,46.92699278133709
2020-01-17,7.5,78.6996631788904
2020-01-18,13.5,32.11598920984227
2020-01-19,11.5,37.04666642496777
2020-01-20,11,35.83769710905349
2020-01-21,8.5,53.098632762981765
2020-01-22,10.5,73.97458044544855
2020-01-23,12.5,47.19928883492326
2020-01-24,11.5,33.998536487206344
2020-01-25,14,30.92723039602579
2020-01-26,15,28.84168913263847
2020-01-27,14,41.37164940762163
2020-01-28,12.5,27.63702420383659
2020-01-29,11,23.843160767058738
2020-01-30,12,31.688831486842908
2020-01-31,11,30.072827323568145
2020-02-01,10.5,26.674613773152338
2020-02-02,11.5,21.05481332842629
2020-02-03,14.5,30.352702338579824
2020-02-04,11,50.685748316890354
2020-02-05,0.3333333333333333,74.6663448323818
2020-02-06,3,32.58771603590447
2020-02-07,10.5,32.29900365274169
2020-02-08,14,33.381398722921
2020-02-09,16.75,27.16725710056856
2020-02-10,15,55.37978990664065
2020-02-11,6,76.6481544120048
2020-02-12,3,83.90254135901608
2020-02-13,8.5,55.74728305930524
2020-02-14,11,50.42095268852469
2020-02-15,15,34.85232000606639
2020-02-16,16,28.70207526439125
2020-02-17,16.5,25.310007797010172
2020-02-18,17,29.945394843496736
2020-02-19,12,47.87291512848372
2020-02-20,11,54.01231313977891
2020-02-21,5,60.79132383297651
2020-02-22,9.5,57.61039348808335
2020-02-23,16,41.82896046717052
2020-02-24,13,35.26656429920843
2020-02-25,11,18.52846593319324
2020-02-26,6,20.942318735137185
2020-02-27,8,19.28112365887299
2020-02-28,14,15.611147942326891
2020-02-29,16,15.30956718461123
2020-03-01,18,26.01285778254137
2020-03-02,16,29.258877863604084
2020-03-03,10.5,76.57290669463106
2020-03-04,8.5,76.38631131456128
2020-03-05,11,58.09786160247471
2020-03-06,15,41.69251332327774
2020-03-07,16.5,34.77210877368342
2020-03-08,17,67.96090878605577
2020-03-09,14,62.96717877904992
2020-03-10,18.5,50.49838545688121
2020-03-11,20,43.31050706697746
2020-03-12,19,56.09628761143618
2020-03-13,17,77.31695663426069
2020-03-14,18,36.95449002493812
2020-03-15,18,52.71122993539926
2020-03-16,21,37.77028964800556
2020-03-17,19,39.92019471214107
2020-03-18,13,67.18218209197121
2020-03-19,12,43.221279900117565
2020-03-20,14.5,36.118997387251625
2020-03-21,14,41.41610168217629
2020-03-22,20,21.063153999221754
2020-03-23,21,17.009311440146924
2020-03-24,21.5,14.908790630633161
2020-03-25,21.5,17.792131931691692
2020-03-26,26,15.670575137050804
2020-03-27,22,27.065991771783736
2020-03-28,13.5,22.304094062573007
2020-03-29,16,17.272809456155898
2020-03-30,19,14.724282797295107
2020-03-31,19.5,14.833497519465153
2020-04-01,24.5,15.102263644477937
2020-04-02,24,14.459360304205415
2020-04-03,23,17.47221529448974
2020-04-04,22,17.240984425189573
2020-04-05,21.5,17.676516497041607
2020-04-06,22,26.8047120603421
2020-04-07,21.5,23.580008472345874
2020-04-08,23.5,22.758851187212947
2020-04-09,23.5,21.0431709348484
2020-04-10,23,16.204383601052875
2020-04-11,22,14.363310720551684
2020-04-12,19,30.08171091634625
2020-04-13,20,22.61432221681816
2020-04-14,20.5,18.231329349272848
2020-04-15,19,19.538899706718798
2020-04-16,22,13.696879506057801
2020-04-17,24,14.257098412934978
2020-04-18,23.5,16.831097383307956
2020-04-19,22,14.118930847946478
2020-04-20,23,12.58298742061271
2020-04-21,25.5,12.492652928059396
2020-04-22,25,15.453205767293818
2020-04-23,25,16.204383601052875
2020-04-24,27,13.282249741373848
2020-04-25,25.5,19.458968468390328
2020-04-26,27,16.53733135143753
2020-04-27,32,10.163987052416221
