date,med_temp,med_hum
2020-01-01,14,87.89874737696405
2020-01-02,16,87.98045404627203
2020-01-03,19,39.92019471214107
2020-01-04,18.5,31.062389645714973
2020-01-05,17,49.29795143958325
2020-01-06,19,56.09508186433622
2020-01-07,17,63.95228099285171
2020-01-08,17.5,65.80279001960628
2020-01-09,21.5,71.05724584797912
2020-01-10,25,68.88455335627403
2020-01-11,22,17.009311440146924
2020-01-12,16,58.809036583679365
2020-01-13,20,72.74136747626689
2020-01-14,24,78.41305007269452
2020-01-15,24.5,76.134022498583093
2020-01-16,24,76.05725439352682
2020-01-17,24,67.12756496323567
2020-01-18,23,68.88455335627403
2020-01-19,15.75,53.18178618037045
2020-01-20,14.5,41.41490899541644
2020-01-21,16,55.38194241530312
2020-01-22,19,62.1008331543775
2020-01-23,19,66.28014560818488
2020-01-24,19.5,58.136592668240766
2020-01-25,22,61.01905115565172
2020-01-26,22,71.05724584797912
2020-01-27,22,53.19306611384672
2020-01-28,22,73.38896219265978
2020-01-29,21,23.639532682634087
2020-01-30,15,67.96090878605577
2020-01-31,14,76.87685464599102
2020-02-01,16,41.96892496437919
2020-02-02,18,41.96892496437919
2020-02-03,23,60.91377238350992
2020-02-04,22,73.38896219265978
2020-02-05,13,71.70928449045182
2020-02-06,11,39.991869579059845
2020-02-07,18.5,41.06340303567474
2020-02-08,24,57.23908378418548
2020-02-09,25.5,65.58754155480105
2020-02-10,27.5,59.875215722495376
2020-02-11,20,86.57008295402676
2020-02-12,12,81.9266490914186
2020-02-13,14,59.32324088384419
2020-02-14,14.5,58.809036583679365
2020-02-15,21,56.560400048640226
2020-02-16,22,64.72024515871908
2020-02-17,26,59.665598223664816
2020-02-18,26,61.433620305047384
2020-02-19,17,77.31695663426069
2020-02-20,12,87.85705358998786
2020-02-21,9.5,61.96651186760725
2020-02-22,14,59.60696991756507
2020-02-23,21,63.81411596050203
2020-02-24,24.5,59.233249767476046
2020-02-25,23,73.06902050019842
2020-02-26,17,15.376977572606979
2020-02-27,14,22.304643672327813
2020-02-28,18,30.352702338579824
2020-02-29,22,41.50668991843061
2020-03-01,25,56.78430796050968
2020-03-02,26,59.45831364896698
2020-03-03,25,73.70145871435912
2020-03-04,24,73.85499492447167
2020-03-05,21,30.889779941912433
2020-03-06,23,26.25091320152638
2020-03-07,21.5,46.59413593421032
2020-03-08,23,51.73754384073961
2020-03-09,23,61.12323345320917
2020-03-10,23,78.14902220275958
2020-03-11,26,54.129121311830716
2020-03-12,24,65.1120047745209
2020-03-13,28,58.112734340852754
2020-03-14,26.5,59.000060933142
2020-03-15,26,61.433620305047384
2020-03-16,26,61.637697104138
2020-03-17,26.5,59.56249594652443
2020-03-18,26,65.20834884082107
2020-03-19,26.5,61.63390525540562
2020-03-20,25,73.85499492447167
2020-03-21,18,88.02103101455275
2020-03-22,20,77.87849361687259
2020-03-23,27,61.83967782449802
2020-03-24,29,58.32472936432805
2020-03-25,29.5,54.918963491946776
2020-03-26,31.5,39.24744087420187
2020-03-27,30.5,53.48377005976866
2020-03-28,31,51.93756957355183
2020-03-29,22,69.41394808253514
2020-03-30,28,61.838645325374046
2020-03-31,27,56.74154623400752
2020-04-01,26.5,44.847451212201655
2020-04-02,26.5,63.619321397852374
2020-04-03,26.5,71.88193708087286
2020-04-04,21.75,83.28159388045633
2020-04-05,17,88.1011015877247
2020-04-06,22,88.33502549664054
2020-04-07,27,74.15679677103866
2020-04-08,30.5,56.89331196150859
2020-04-09,31,55.467770944796946
2020-04-10,27,74.00676427166101
2020-04-11,28,69.9258556526856
2020-04-12,34.5,22.68542164622328
2020-04-13,25,47.34895896956689
2020-04-14,20,60.163324567622766
2020-04-15,19,52.46674886846966
2020-04-16,21,73.22993833968422
2020-04-17,27,78.74109629761944
2020-04-18,28,65.95870265422246
2020-04-19,33,43.50792549223786
2020-04-20,33,31.85602341459579
2020-04-21,30,62.23747476789375
2020-04-22,30,62.23747476789375
2020-04-23,33.5,45.029394303967806
2020-04-24,33.5,42.574143204661965
2020-04-25,31,54.80795643790807
2020-04-26,28,51.24387324896973
2020-04-27,30.5,50.2543735247813
2020-04-28,31,52.16465041411347
2020-04-29,28,56.99775738517515
2020-04-30,28,37.368753242199034
2020-05-01,30,38.0974093470035
2020-05-02,31,48.80031663669829
